field,requested_legacy_dataset,effective_dataset,effective_source_model,source_sha256,component,selection,expression,unit,min,max,mean,routing_class,status,notes
li_concentration,dset_a4b_ionic_en,dset_a4b_ionic_en,F:\LiNRR_COMSOL\worktrees\20260825_155120_LiNRR_PAPER_V1_VISUALIZATION_CLEAN\models\generated\LiNRR_M10A4_ionic_current_li_plating.mph,FADEEA4D8ADF9E472B4B855B05E39C22EF418214C0F62FB0C1977ACA36DA667B,comp_species_liq_real,m10a3_sel_dom_electrolyte_fluid,cLi_a4b,mol/m^3,957.94531091744530,5622.1167984087490,1685.0470090274712,RETAINED_CANONICAL,PASS,Final sol21 snapshot selected.
bf4_concentration,dset_a4b_ionic_en,dset_a4b_ionic_en,F:\LiNRR_COMSOL\worktrees\20260825_155120_LiNRR_PAPER_V1_VISUALIZATION_CLEAN\models\generated\LiNRR_M10A4_ionic_current_li_plating.mph,FADEEA4D8ADF9E472B4B855B05E39C22EF418214C0F62FB0C1977ACA36DA667B,comp_species_liq_real,m10a3_sel_dom_electrolyte_fluid,cBF4_a4b,mol/m^3,957.94531091744530,5622.1167984087490,1685.0470090274712,RETAINED_CANONICAL,PASS,Final sol21 snapshot selected.
ionic_current,dset_a4b_ionic_en,dset_a4b_ionic_en,F:\LiNRR_COMSOL\worktrees\20260825_155120_LiNRR_PAPER_V1_VISUALIZATION_CLEAN\models\generated\LiNRR_M10A4_ionic_current_li_plating.mph,FADEEA4D8ADF9E472B4B855B05E39C22EF418214C0F62FB0C1977ACA36DA667B,comp_species_liq_real,m10a3_sel_dom_electrolyte_fluid,j_ion_a4b_mag,A/m^2,0.0000000000000000,31.316023412474745,11.336483545165503,RETAINED_CANONICAL,PASS,Species-flux identity; final sol21 snapshot.
cathode_current,dset_a4b_ionic_en,dset_a4b_ionic_en,F:\LiNRR_COMSOL\worktrees\20260825_155120_LiNRR_PAPER_V1_VISUALIZATION_CLEAN\models\generated\LiNRR_M10A4_ionic_current_li_plating.mph,FADEEA4D8ADF9E472B4B855B05E39C22EF418214C0F62FB0C1977ACA36DA667B,comp_species_liq_real,m10a3_sel_bnd_electrolyte_gde_top,"withsol('sol19',cd.nIl)",A/m^2,-10.274918187844683,17.582907914967660,9.9999999999994280,RETAINED_CANONICAL,PASS,Accepted expression recovered from frozen PlotGroup.
li_equivalent_9C,dset_a4b_ionic_en,dset_a4b_ionic_en,F:\LiNRR_COMSOL\worktrees\20260825_155120_LiNRR_PAPER_V1_VISUALIZATION_CLEAN\models\generated\LiNRR_M10A4_ionic_current_li_plating.mph,FADEEA4D8ADF9E472B4B855B05E39C22EF418214C0F62FB0C1977ACA36DA667B,comp_species_liq_real,m10a3_sel_bnd_electrolyte_gde_top,"((-(-((0.0384399999999978[A])/(0.00384400000000000[m^2]*(10.0071933411891[A/m^2]))*(sqrt((withsol('sol19',cd.nIl))^2))))/F_const)*(6.941e-3[kg/mol])/(534[kg/m^3]))*(234.131113423531[s])",m,2.6399527173721310e-10,5.5418789172727880e-07,3.1541276355907717e-07,RETAINED_CANONICAL,PASS,LI-EQUIVALENT numerical upper bound f=1; not retained metallic Li.
li_equivalent_45C,dset_a4b_ionic_en,dset_a4b_ionic_en,F:\LiNRR_COMSOL\worktrees\20260825_155120_LiNRR_PAPER_V1_VISUALIZATION_CLEAN\models\generated\LiNRR_M10A4_ionic_current_li_plating.mph,FADEEA4D8ADF9E472B4B855B05E39C22EF418214C0F62FB0C1977ACA36DA667B,comp_species_liq_real,m10a3_sel_bnd_electrolyte_gde_top,"((-(-((0.0384399999999978[A])/(0.00384400000000000[m^2]*(10.0071933411891[A/m^2]))*(sqrt((withsol('sol19',cd.nIl))^2))))/F_const)*(6.941e-3[kg/mol])/(534[kg/m^3]))*(1170.65556711765[s])",m,1.3199763586860597e-09,2.7709394586363824e-06,1.5770638177953810e-06,RETAINED_CANONICAL,PASS,LI-EQUIVALENT numerical upper bound f=1; not retained metallic Li.
li_equivalent_54C,dset_a4b_ionic_en,dset_a4b_ionic_en,F:\LiNRR_COMSOL\worktrees\20260825_155120_LiNRR_PAPER_V1_VISUALIZATION_CLEAN\models\generated\LiNRR_M10A4_ionic_current_li_plating.mph,FADEEA4D8ADF9E472B4B855B05E39C22EF418214C0F62FB0C1977ACA36DA667B,comp_species_liq_real,m10a3_sel_bnd_electrolyte_gde_top,"((-(-((0.0384399999999978[A])/(0.00384400000000000[m^2]*(10.0071933411891[A/m^2]))*(sqrt((withsol('sol19',cd.nIl))^2))))/F_const)*(6.941e-3[kg/mol])/(534[kg/m^3]))*(1404.78668054118[s])",m,1.5839716304232717e-09,3.3251273503636584e-06,1.8924765813544540e-06,RETAINED_CANONICAL,PASS,LI-EQUIVALENT numerical upper bound f=1; not retained metallic Li.
li_equivalent_99C,dset_a4b_ionic_en,dset_a4b_ionic_en,F:\LiNRR_COMSOL\worktrees\20260825_155120_LiNRR_PAPER_V1_VISUALIZATION_CLEAN\models\generated\LiNRR_M10A4_ionic_current_li_plating.mph,FADEEA4D8ADF9E472B4B855B05E39C22EF418214C0F62FB0C1977ACA36DA667B,comp_species_liq_real,m10a3_sel_bnd_electrolyte_gde_top,"((-(-((0.0384399999999978[A])/(0.00384400000000000[m^2]*(10.0071933411891[A/m^2]))*(sqrt((withsol('sol19',cd.nIl))^2))))/F_const)*(6.941e-3[kg/mol])/(534[kg/m^3]))*(2575.44224765884[s])",m,2.9039479891093436e-09,6.0960668090000660e-06,3.4695403991498546e-06,RETAINED_CANONICAL,PASS,LI-EQUIVALENT numerical upper bound f=1; not retained metallic Li.
li_equivalent_297C,dset_a4b_ionic_en,dset_a4b_ionic_en,F:\LiNRR_COMSOL\worktrees\20260825_155120_LiNRR_PAPER_V1_VISUALIZATION_CLEAN\models\generated\LiNRR_M10A4_ionic_current_li_plating.mph,FADEEA4D8ADF9E472B4B855B05E39C22EF418214C0F62FB0C1977ACA36DA667B,comp_species_liq_real,m10a3_sel_bnd_electrolyte_gde_top,"((-(-((0.0384399999999978[A])/(0.00384400000000000[m^2]*(10.0071933411891[A/m^2]))*(sqrt((withsol('sol19',cd.nIl))^2))))/F_const)*(6.941e-3[kg/mol])/(534[kg/m^3]))*(7726.32674297651[s])",m,8.7118439673280170e-09,1.8288200427000170e-05,1.0408621197449540e-05,RETAINED_CANONICAL,PASS,LI-EQUIVALENT numerical upper bound f=1; not retained metallic Li.
n2_current_overlap,dset_a4b_ionic_en,dset_a4b_ionic_en,F:\LiNRR_COMSOL\worktrees\20260825_155120_LiNRR_PAPER_V1_VISUALIZATION_CLEAN\models\generated\LiNRR_M10A4_ionic_current_li_plating.mph,FADEEA4D8ADF9E472B4B855B05E39C22EF418214C0F62FB0C1977ACA36DA667B,comp_species_liq_real,m10a3_sel_bnd_electrolyte_gde_top,"if(((withsol('sol15',cN2d))>=(1.23873815059718[mol/m^3])),1,0)+2*if(((sqrt((withsol('sol19',cd.nIl))^2))>=(11.2120528939174[A/m^2])),1,0)",1,0.0000000000000000,3.0000000000000000,1.4996843287584811,RETAINED_DERIVED,PASS,Diagnostic only; accepted expression recovered from frozen PlotGroup.
donor_current_overlap,dset_a4b_ionic_en,dset_a4b_ionic_en,F:\LiNRR_COMSOL\worktrees\20260825_155120_LiNRR_PAPER_V1_VISUALIZATION_CLEAN\models\generated\LiNRR_M10A4_ionic_current_li_plating.mph,FADEEA4D8ADF9E472B4B855B05E39C22EF418214C0F62FB0C1977ACA36DA667B,comp_species_liq_real,m10a3_sel_bnd_electrolyte_gde_top,"if(((withsol('sol15',cDonor))>=(1.00000000000000[mol/m^3])),1,0)+2*if(((sqrt((withsol('sol19',cd.nIl))^2))>=(11.2120528939174[A/m^2])),1,0)",1,1.0000000000000000,3.0000000000000000,1.9999401910834222,RETAINED_DERIVED,PASS,Diagnostic only; accepted expression recovered from frozen PlotGroup.
four_field_colimitation,dset_a4b_ionic_en,dset_a4b_ionic_en,F:\LiNRR_COMSOL\worktrees\20260825_155120_LiNRR_PAPER_V1_VISUALIZATION_CLEAN\models\generated\LiNRR_M10A4_ionic_current_li_plating.mph,FADEEA4D8ADF9E472B4B855B05E39C22EF418214C0F62FB0C1977ACA36DA667B,comp_species_liq_real,m10a3_sel_bnd_electrolyte_gde_top,"if(((withsol('sol15',cN2d))>=(1.23873815059718[mol/m^3])),1,0)+2*if(((cLi_a4b)>=(1693.33555351719[mol/m^3])),1,0)+4*if(((withsol('sol15',cDonor))>=(1.00000000000000[mol/m^3])),1,0)+8*if(((sqrt((withsol('sol19',cd.nIl))^2))>=(11.2120528939174[A/m^2])),1,0)",1,4.0000000000000000,15.000000000000000,9.4993429778345160,RETAINED_DERIVED,PASS,Diagnostic only; accepted expression recovered from frozen PlotGroup.
colimitation_robustness,dset_a4b_ionic_en,dset_a4b_ionic_en,F:\LiNRR_COMSOL\worktrees\20260825_155120_LiNRR_PAPER_V1_VISUALIZATION_CLEAN\models\generated\LiNRR_M10A4_ionic_current_li_plating.mph,FADEEA4D8ADF9E472B4B855B05E39C22EF418214C0F62FB0C1977ACA36DA667B,comp_species_liq_real,m10a3_sel_bnd_electrolyte_gde_top,"if(((withsol('sol15',cN2d))>=(1.23873815059718[mol/m^3]))&&((cLi_a4b)>=(1693.33555351719[mol/m^3]))&&((withsol('sol15',cDonor))>=(1.00000000000000[mol/m^3]))&&((sqrt((withsol('sol19',cd.nIl))^2))>=(11.2120528939174[A/m^2])),1,0)",1,0.0000000000000000,1.0000000000000000,0.16683759614312470,RETAINED_DERIVED,PASS,Diagnostic only; accepted expression recovered from frozen PlotGroup.
joule_diagnostic,dset_a4a_ohmic,dset_a4a_ohmic,F:\LiNRR_COMSOL\worktrees\20260825_155120_LiNRR_PAPER_V1_VISUALIZATION_CLEAN\models\generated\LiNRR_M10A4_ionic_current_li_plating.mph,FADEEA4D8ADF9E472B4B855B05E39C22EF418214C0F62FB0C1977ACA36DA667B,comp_species_liq_real,m10a3_sel_dom_electrolyte_fluid,q_ohmic_a4a,W/m^3,0.0000000000000000,3268.9777412361286,471.36268465252084,RETAINED_DERIVED,PASS,Electrical source diagnostic; no thermal feedback.
