dataset_tag,dataset_label,dataset_type,configured_solution_tag,configured_component,candidate_scientific_role,solution_present,stored_solution_state_detected,selection,expression,derived_value_nonempty,finite,min,max,mean,classification,replacement_for_legacy_dataset,notes
dset_a4b_ionic_en,A4B Ionic Transport/解 21 (0),Solution,sol21,comp_species_liq_real,A4B_LI_CONCENTRATION_FINAL,true,true,m10a3_sel_dom_electrolyte_fluid,cLi_a4b,true,true,957.94531091744530,5622.1167984087490,1685.0470090274712,RETAINED_CANONICAL,,sol21 was compacted to its accepted final snapshot.
dset_a4b_flow_repair,A4B Real Liquid Flow Support/解 20 (0),Solution,sol20,comp_species_liq_real,A4B_LIQUID_INLET_PRESSURE,true,true,m10a3_sel_bnd_electrolyte_inlet,p,true,true,5.8009382685016670,5.8012017649842530,5.8010680789508350,RETAINED_CANONICAL,dset_liq_solution,Retained sol20 inlet average pressure.
dset_a4b_flow_repair,A4B Real Liquid Flow Support/解 20 (0),Solution,sol20,comp_species_liq_real,A4B_LIQUID_OUTLET_PRESSURE,true,true,m10a3_sel_bnd_electrolyte_outlet,p,true,true,0.19416592983298080,0.19471831595677483,0.19436646626729767,RETAINED_CANONICAL,dset_liq_solution,Retained sol20 outlet average pressure.
dset_a4b_flow_repair,A4B Real Liquid Flow Support/解 20 (0),Solution,sol20,comp_species_liq_real,A4B_LIQUID_INLET_NORMAL_FLOW,true,true,m10a3_sel_bnd_electrolyte_inlet,u*nx+v*ny+w*nz,true,true,-0.0010620216580872570,0.0000000000000000,-0.00052813224507514800,RETAINED_CANONICAL,dset_liq_solution,Surface mean supplements the separately integrated flow balance.
dset_a4b_flow_repair,A4B Real Liquid Flow Support/解 20 (0),Solution,sol20,comp_species_liq_real,A4B_LIQUID_VOLUMETRIC_FLOW_CONSISTENCY,true,true,m10a3_sel_bnd_electrolyte_inlet;m10a3_sel_bnd_electrolyte_outlet,integral(u*n_x+v*n_y+w*n_z),true,true,-1.6666666666666700e-08,1.6666666666666610e-08,5.3601303693436080e-15,RETAINED_DERIVED,dset_liq_solution,qin=-1.6666666666666700e-08; qout=1.6666666666666610e-08; relative_closure=5.3601303693436080e-15
dset85,std_species_liq_n2 | M10A3 strictly positive conservative transient relaxation/解 15 (85),Solution,sol15,comp_n2_flow,RETAINED_N2_VELOCITY_CANDIDATE_sol15,true,true,sel_dom_n2_channel,sqrt(u2^2+v2^2+w2^2),true,true,0.0000000000000000,0.0000000000000000,0.0000000000000000,UNAVAILABLE_WITHOUT_SOLVE,,"Actual component-specific dataset connected to retained sol15; tested, not inferred."
dset85,std_species_liq_n2 | M10A3 strictly positive conservative transient relaxation/解 15 (85),Solution,sol15,comp_n2_flow,RETAINED_N2_PRESSURE_CANDIDATE_sol15,true,true,sel_dom_n2_channel,p2,true,true,0.0000000000000000,0.0000000000000000,0.0000000000000000,UNAVAILABLE_WITHOUT_SOLVE,,Pressure tested independently on the same retained solution route.
dset135,A4A Ohmic Current Distribution/解 19 (135),Solution,sol19,comp_n2_flow,RETAINED_N2_VELOCITY_CANDIDATE_sol19,true,true,sel_dom_n2_channel,sqrt(u2^2+v2^2+w2^2),true,true,0.0000000000000000,0.0000000000000000,0.0000000000000000,UNAVAILABLE_WITHOUT_SOLVE,,"Actual component-specific dataset connected to retained sol19; tested, not inferred."
dset135,A4A Ohmic Current Distribution/解 19 (135),Solution,sol19,comp_n2_flow,RETAINED_N2_PRESSURE_CANDIDATE_sol19,true,true,sel_dom_n2_channel,p2,true,true,0.0000000000000000,0.0000000000000000,0.0000000000000000,UNAVAILABLE_WITHOUT_SOLVE,,Pressure tested independently on the same retained solution route.
dset148,A4B Real Liquid Flow Support/解 20 (148),Solution,sol20,comp_n2_flow,RETAINED_N2_VELOCITY_CANDIDATE_sol20,true,true,sel_dom_n2_channel,sqrt(u2^2+v2^2+w2^2),true,true,0.0000000000000000,0.0000000000000000,0.0000000000000000,UNAVAILABLE_WITHOUT_SOLVE,,"Actual component-specific dataset connected to retained sol20; tested, not inferred."
dset148,A4B Real Liquid Flow Support/解 20 (148),Solution,sol20,comp_n2_flow,RETAINED_N2_PRESSURE_CANDIDATE_sol20,true,true,sel_dom_n2_channel,p2,true,true,0.0000000000000000,0.0000000000000000,0.0000000000000000,UNAVAILABLE_WITHOUT_SOLVE,,Pressure tested independently on the same retained solution route.
dset161,A4B Ionic Transport/解 21 (161),Solution,sol21,comp_n2_flow,RETAINED_N2_VELOCITY_CANDIDATE_sol21,true,true,sel_dom_n2_channel,sqrt(u2^2+v2^2+w2^2),true,true,0.0000000000000000,0.0000000000000000,0.0000000000000000,UNAVAILABLE_WITHOUT_SOLVE,,"Actual component-specific dataset connected to retained sol21; tested, not inferred."
dset161,A4B Ionic Transport/解 21 (161),Solution,sol21,comp_n2_flow,RETAINED_N2_PRESSURE_CANDIDATE_sol21,true,true,sel_dom_n2_channel,p2,true,true,0.0000000000000000,0.0000000000000000,0.0000000000000000,UNAVAILABLE_WITHOUT_SOLVE,,Pressure tested independently on the same retained solution route.
dset93,std_species_liq_n2 | M10A3 strictly positive conservative transient relaxation/解 15 (93),Solution,sol15,comp_species_n2_real,RETAINED_CN2G_CANDIDATE_sol15,true,true,m10a3_sel_dom_n2_channel,cN2g,true,true,40.874044523576110,40.874044523576220,40.874044523576636,RETAINED_DERIVED,,Actual species-component dataset connected to retained sol15; concentration only.
dset143,A4A Ohmic Current Distribution/解 19 (143),Solution,sol19,comp_species_n2_real,RETAINED_CN2G_CANDIDATE_sol19,true,true,m10a3_sel_dom_n2_channel,cN2g,true,true,40.874044523576110,40.874044523576220,40.874044523576630,RETAINED_DERIVED,,Actual species-component dataset connected to retained sol19; concentration only.
dset156,A4B Real Liquid Flow Support/解 20 (156),Solution,sol20,comp_species_n2_real,RETAINED_CN2G_CANDIDATE_sol20,true,true,m10a3_sel_dom_n2_channel,cN2g,true,true,40.874044523576110,40.874044523576220,40.874044523576636,RETAINED_DERIVED,,Actual species-component dataset connected to retained sol20; concentration only.
dset169,A4B Ionic Transport/解 21 (169),Solution,sol21,comp_species_n2_real,RETAINED_CN2G_CANDIDATE_sol21,true,true,m10a3_sel_dom_n2_channel,cN2g,true,true,40.874044523576110,40.874044523576220,40.874044523576636,RETAINED_DERIVED,,Actual species-component dataset connected to retained sol21; concentration only.
dset84,std_species_liq_n2 | M10A3 strictly positive conservative transient relaxation/解 15 (84),Solution,sol15,comp_electrolyte_flow,RETAINED_SOLUTION_ROUTE_INSPECTION,true,true,,,NOT_TESTED,NOT_TESTED,,,,RETAINED_DERIVED,,Loaded MPH property inspection; configured route targets sol15.
dset86,std_species_liq_n2 | M10A3 strictly positive conservative transient relaxation/解 15 (86),Solution,sol15,comp_h2_flow,RETAINED_SOLUTION_ROUTE_INSPECTION,true,true,,,NOT_TESTED,NOT_TESTED,,,,RETAINED_DERIVED,,Loaded MPH property inspection; configured route targets sol15.
dset87,std_species_liq_n2 | M10A3 strictly positive conservative transient relaxation/解 15 (87),Solution,sol15,comp_pipe_n2,RETAINED_SOLUTION_ROUTE_INSPECTION,true,true,,,NOT_TESTED,NOT_TESTED,,,,RETAINED_DERIVED,,Loaded MPH property inspection; configured route targets sol15.
dset88,std_species_liq_n2 | M10A3 strictly positive conservative transient relaxation/解 15 (88),Solution,sol15,comp_pipe_h2,RETAINED_SOLUTION_ROUTE_INSPECTION,true,true,,,NOT_TESTED,NOT_TESTED,,,,RETAINED_DERIVED,,Loaded MPH property inspection; configured route targets sol15.
dset89,std_species_liq_n2 | M10A3 strictly positive conservative transient relaxation/解 15 (89),Solution,sol15,comp_pipe_liq,RETAINED_SOLUTION_ROUTE_INSPECTION,true,true,,,NOT_TESTED,NOT_TESTED,,,,RETAINED_DERIVED,,Loaded MPH property inspection; configured route targets sol15.
dset90,std_species_liq_n2 | M10A3 strictly positive conservative transient relaxation/解 15 (90),Solution,sol15,comp_ssc_darcy,RETAINED_SOLUTION_ROUTE_INSPECTION,true,true,,,NOT_TESTED,NOT_TESTED,,,,RETAINED_DERIVED,,Loaded MPH property inspection; configured route targets sol15.
dset91,std_species_liq_n2 | M10A3 strictly positive conservative transient relaxation/解 15 (91),Solution,sol15,comp_ssc_wetting,RETAINED_SOLUTION_ROUTE_INSPECTION,true,true,,,NOT_TESTED,NOT_TESTED,,,,RETAINED_DERIVED,,Loaded MPH property inspection; configured route targets sol15.
dset92,std_species_liq_n2 | M10A3 strictly positive conservative transient relaxation/解 15 (92),Solution,sol15,comp_n2_transfer,RETAINED_SOLUTION_ROUTE_INSPECTION,true,true,,,NOT_TESTED,NOT_TESTED,,,,RETAINED_DERIVED,,Loaded MPH property inspection; configured route targets sol15.
dset94,std_species_liq_n2 | M10A3 strictly positive conservative transient relaxation/解 15 (94),Solution,sol15,comp_species_h2_real,RETAINED_SOLUTION_ROUTE_INSPECTION,true,true,,,NOT_TESTED,NOT_TESTED,,,,RETAINED_DERIVED,,Loaded MPH property inspection; configured route targets sol15.
dset95,std_species_liq_n2 | M10A3 strictly positive conservative transient relaxation/解 15 (95),Solution,sol15,comp_species_liq_real,RETAINED_SOLUTION_ROUTE_INSPECTION,true,true,,,NOT_TESTED,NOT_TESTED,,,,RETAINED_DERIVED,,Loaded MPH property inspection; configured route targets sol15.
dset134,A4A Ohmic Current Distribution/解 19 (134),Solution,sol19,comp_electrolyte_flow,RETAINED_SOLUTION_ROUTE_INSPECTION,true,true,,,NOT_TESTED,NOT_TESTED,,,,RETAINED_DERIVED,,Loaded MPH property inspection; configured route targets sol19.
dset136,A4A Ohmic Current Distribution/解 19 (136),Solution,sol19,comp_h2_flow,RETAINED_SOLUTION_ROUTE_INSPECTION,true,true,,,NOT_TESTED,NOT_TESTED,,,,RETAINED_DERIVED,,Loaded MPH property inspection; configured route targets sol19.
dset137,A4A Ohmic Current Distribution/解 19 (137),Solution,sol19,comp_pipe_n2,RETAINED_SOLUTION_ROUTE_INSPECTION,true,true,,,NOT_TESTED,NOT_TESTED,,,,RETAINED_DERIVED,,Loaded MPH property inspection; configured route targets sol19.
dset138,A4A Ohmic Current Distribution/解 19 (138),Solution,sol19,comp_pipe_h2,RETAINED_SOLUTION_ROUTE_INSPECTION,true,true,,,NOT_TESTED,NOT_TESTED,,,,RETAINED_DERIVED,,Loaded MPH property inspection; configured route targets sol19.
dset139,A4A Ohmic Current Distribution/解 19 (139),Solution,sol19,comp_pipe_liq,RETAINED_SOLUTION_ROUTE_INSPECTION,true,true,,,NOT_TESTED,NOT_TESTED,,,,RETAINED_DERIVED,,Loaded MPH property inspection; configured route targets sol19.
dset140,A4A Ohmic Current Distribution/解 19 (140),Solution,sol19,comp_ssc_darcy,RETAINED_SOLUTION_ROUTE_INSPECTION,true,true,,,NOT_TESTED,NOT_TESTED,,,,RETAINED_DERIVED,,Loaded MPH property inspection; configured route targets sol19.
dset141,A4A Ohmic Current Distribution/解 19 (141),Solution,sol19,comp_ssc_wetting,RETAINED_SOLUTION_ROUTE_INSPECTION,true,true,,,NOT_TESTED,NOT_TESTED,,,,RETAINED_DERIVED,,Loaded MPH property inspection; configured route targets sol19.
dset142,A4A Ohmic Current Distribution/解 19 (142),Solution,sol19,comp_n2_transfer,RETAINED_SOLUTION_ROUTE_INSPECTION,true,true,,,NOT_TESTED,NOT_TESTED,,,,RETAINED_DERIVED,,Loaded MPH property inspection; configured route targets sol19.
dset144,A4A Ohmic Current Distribution/解 19 (144),Solution,sol19,comp_species_h2_real,RETAINED_SOLUTION_ROUTE_INSPECTION,true,true,,,NOT_TESTED,NOT_TESTED,,,,RETAINED_DERIVED,,Loaded MPH property inspection; configured route targets sol19.
dset145,A4A Ohmic Current Distribution/解 19 (145),Solution,sol19,comp_species_liq_real,RETAINED_SOLUTION_ROUTE_INSPECTION,true,true,,,NOT_TESTED,NOT_TESTED,,,,RETAINED_DERIVED,,Loaded MPH property inspection; configured route targets sol19.
dset146,A4A Ohmic Current Distribution/解 19 (146),Solution,sol19,comp_nh3_downstream,RETAINED_SOLUTION_ROUTE_INSPECTION,true,true,,,NOT_TESTED,NOT_TESTED,,,,RETAINED_DERIVED,,Loaded MPH property inspection; configured route targets sol19.
dset147,A4B Real Liquid Flow Support/解 20 (147),Solution,sol20,comp_electrolyte_flow,RETAINED_SOLUTION_ROUTE_INSPECTION,true,true,,,NOT_TESTED,NOT_TESTED,,,,RETAINED_DERIVED,,Loaded MPH property inspection; configured route targets sol20.
dset149,A4B Real Liquid Flow Support/解 20 (149),Solution,sol20,comp_h2_flow,RETAINED_SOLUTION_ROUTE_INSPECTION,true,true,,,NOT_TESTED,NOT_TESTED,,,,RETAINED_DERIVED,,Loaded MPH property inspection; configured route targets sol20.
dset150,A4B Real Liquid Flow Support/解 20 (150),Solution,sol20,comp_pipe_n2,RETAINED_SOLUTION_ROUTE_INSPECTION,true,true,,,NOT_TESTED,NOT_TESTED,,,,RETAINED_DERIVED,,Loaded MPH property inspection; configured route targets sol20.
dset151,A4B Real Liquid Flow Support/解 20 (151),Solution,sol20,comp_pipe_h2,RETAINED_SOLUTION_ROUTE_INSPECTION,true,true,,,NOT_TESTED,NOT_TESTED,,,,RETAINED_DERIVED,,Loaded MPH property inspection; configured route targets sol20.
dset152,A4B Real Liquid Flow Support/解 20 (152),Solution,sol20,comp_pipe_liq,RETAINED_SOLUTION_ROUTE_INSPECTION,true,true,,,NOT_TESTED,NOT_TESTED,,,,RETAINED_DERIVED,,Loaded MPH property inspection; configured route targets sol20.
dset153,A4B Real Liquid Flow Support/解 20 (153),Solution,sol20,comp_ssc_darcy,RETAINED_SOLUTION_ROUTE_INSPECTION,true,true,,,NOT_TESTED,NOT_TESTED,,,,RETAINED_DERIVED,,Loaded MPH property inspection; configured route targets sol20.
dset154,A4B Real Liquid Flow Support/解 20 (154),Solution,sol20,comp_ssc_wetting,RETAINED_SOLUTION_ROUTE_INSPECTION,true,true,,,NOT_TESTED,NOT_TESTED,,,,RETAINED_DERIVED,,Loaded MPH property inspection; configured route targets sol20.
dset155,A4B Real Liquid Flow Support/解 20 (155),Solution,sol20,comp_n2_transfer,RETAINED_SOLUTION_ROUTE_INSPECTION,true,true,,,NOT_TESTED,NOT_TESTED,,,,RETAINED_DERIVED,,Loaded MPH property inspection; configured route targets sol20.
dset157,A4B Real Liquid Flow Support/解 20 (157),Solution,sol20,comp_species_h2_real,RETAINED_SOLUTION_ROUTE_INSPECTION,true,true,,,NOT_TESTED,NOT_TESTED,,,,RETAINED_DERIVED,,Loaded MPH property inspection; configured route targets sol20.
dset158,A4B Real Liquid Flow Support/解 20 (158),Solution,sol20,comp_species_liq_real,RETAINED_SOLUTION_ROUTE_INSPECTION,true,true,,,NOT_TESTED,NOT_TESTED,,,,RETAINED_DERIVED,,Loaded MPH property inspection; configured route targets sol20.
dset159,A4B Real Liquid Flow Support/解 20 (159),Solution,sol20,comp_nh3_downstream,RETAINED_SOLUTION_ROUTE_INSPECTION,true,true,,,NOT_TESTED,NOT_TESTED,,,,RETAINED_DERIVED,,Loaded MPH property inspection; configured route targets sol20.
dset160,A4B Ionic Transport/解 21 (160),Solution,sol21,comp_electrolyte_flow,RETAINED_SOLUTION_ROUTE_INSPECTION,true,true,,,NOT_TESTED,NOT_TESTED,,,,RETAINED_DERIVED,,Loaded MPH property inspection; configured route targets sol21.
dset162,A4B Ionic Transport/解 21 (162),Solution,sol21,comp_h2_flow,RETAINED_SOLUTION_ROUTE_INSPECTION,true,true,,,NOT_TESTED,NOT_TESTED,,,,RETAINED_DERIVED,,Loaded MPH property inspection; configured route targets sol21.
dset163,A4B Ionic Transport/解 21 (163),Solution,sol21,comp_pipe_n2,RETAINED_SOLUTION_ROUTE_INSPECTION,true,true,,,NOT_TESTED,NOT_TESTED,,,,RETAINED_DERIVED,,Loaded MPH property inspection; configured route targets sol21.
dset164,A4B Ionic Transport/解 21 (164),Solution,sol21,comp_pipe_h2,RETAINED_SOLUTION_ROUTE_INSPECTION,true,true,,,NOT_TESTED,NOT_TESTED,,,,RETAINED_DERIVED,,Loaded MPH property inspection; configured route targets sol21.
dset165,A4B Ionic Transport/解 21 (165),Solution,sol21,comp_pipe_liq,RETAINED_SOLUTION_ROUTE_INSPECTION,true,true,,,NOT_TESTED,NOT_TESTED,,,,RETAINED_DERIVED,,Loaded MPH property inspection; configured route targets sol21.
dset166,A4B Ionic Transport/解 21 (166),Solution,sol21,comp_ssc_darcy,RETAINED_SOLUTION_ROUTE_INSPECTION,true,true,,,NOT_TESTED,NOT_TESTED,,,,RETAINED_DERIVED,,Loaded MPH property inspection; configured route targets sol21.
dset167,A4B Ionic Transport/解 21 (167),Solution,sol21,comp_ssc_wetting,RETAINED_SOLUTION_ROUTE_INSPECTION,true,true,,,NOT_TESTED,NOT_TESTED,,,,RETAINED_DERIVED,,Loaded MPH property inspection; configured route targets sol21.
dset168,A4B Ionic Transport/解 21 (168),Solution,sol21,comp_n2_transfer,RETAINED_SOLUTION_ROUTE_INSPECTION,true,true,,,NOT_TESTED,NOT_TESTED,,,,RETAINED_DERIVED,,Loaded MPH property inspection; configured route targets sol21.
dset170,A4B Ionic Transport/解 21 (170),Solution,sol21,comp_species_h2_real,RETAINED_SOLUTION_ROUTE_INSPECTION,true,true,,,NOT_TESTED,NOT_TESTED,,,,RETAINED_DERIVED,,Loaded MPH property inspection; configured route targets sol21.
dset171,A4B Ionic Transport/解 21 (171),Solution,sol21,comp_species_liq_real,RETAINED_SOLUTION_ROUTE_INSPECTION,true,true,,,NOT_TESTED,NOT_TESTED,,,,RETAINED_DERIVED,,Loaded MPH property inspection; configured route targets sol21.
dset172,A4B Ionic Transport/解 21 (172),Solution,sol21,comp_nh3_downstream,RETAINED_SOLUTION_ROUTE_INSPECTION,true,true,,,NOT_TESTED,NOT_TESTED,,,,RETAINED_DERIVED,,Loaded MPH property inspection; configured route targets sol21.
