plot_tag,label,section,role,dataset,component,selection,expression,dimension,selection_count,plot_run_ok,warning,finite_min,finite_max,status,notes
viz03_bf4_concentration,V03 | IONICS | BF4- concentration | PROVISIONAL SENSITIVITY,V03_IONICS,MAIN_TEACHING,dset_a4b_ionic_en,comp_species_liq_real,m10a3_sel_dom_electrolyte_fluid,cBF4_a4b,3,1,true,false,957.94531091744530,5622.1167984087490,PASS,PROVISIONAL SENSITIVITY
viz03_ionic_current,V03 | IONICS | Ionic current density | SPECIES-FLUX IDENTITY,V03_IONICS,MAIN_TEACHING,dset_a4b_ionic_en,comp_species_liq_real,m10a3_sel_dom_electrolyte_fluid,j_ion_a4b_mag,3,1,true,false,0.0000000000000000,31.316023412474745,PASS,SPECIES-FLUX IDENTITY
viz04_cathode_current,V04 | CURRENT | Cathode current | ELECTROLYTE OUTWARD,V04_CURRENT,MAIN_TEACHING,dset_a4b_ionic_en,comp_species_liq_real,m10a3_sel_bnd_electrolyte_gde_top,"withsol('sol19',cd.nIl)",2,1,true,false,-10.274918187844683,17.582907914967660,PASS,Accepted expression recovered programmatically; common reaction-plane framing
viz04_current_nonuniformity,V04 | CURRENT | Current nonuniformity | MAGNITUDE DIAGNOSTIC,V04_CURRENT,MAIN_TEACHING,dset_a4b_ionic_en,comp_species_liq_real,m10a3_sel_bnd_electrolyte_gde_top,"sqrt((withsol('sol19',cd.nIl))^2)",2,1,true,false,0.0083758678640105670,17.582907914967660,PASS,Accepted expression recovered programmatically; common reaction-plane framing
viz04_current_crowding,V04 | CURRENT | Current crowding | SPATIAL ASSOCIATION,V04_CURRENT,MAIN_TEACHING,dset_a4b_ionic_en,comp_species_liq_real,m10a3_sel_bnd_electrolyte_gde_top,"(sqrt((withsol('sol19',cd.nIl))^2))/(10.0071933411891[A/m^2])",2,1,true,false,0.00083698471473873900,1.7570269020982440,PASS,Accepted expression recovered programmatically; common reaction-plane framing
viz05_h9,V05 | LI-EQUIVALENT | 9 C | NUMERICAL UPPER BOUND f=1,V05_LI_EQUIVALENT,MAIN_TEACHING,dset_a4b_ionic_en,comp_species_liq_real,m10a3_sel_bnd_electrolyte_gde_top,"((-(-((0.0384399999999978[A])/(0.00384400000000000[m^2]*(10.0071933411891[A/m^2]))*(sqrt((withsol('sol19',cd.nIl))^2))))/F_const)*(6.941e-3[kg/mol])/(534[kg/m^3]))*(234.131113423531[s])",2,1,true,false,2.6399527173721310e-10,5.5418789172727880e-07,PASS,Accepted expression recovered programmatically; common reaction-plane framing
viz05_h45,V05 | LI-EQUIVALENT | 45 C | NUMERICAL UPPER BOUND f=1,V05_LI_EQUIVALENT,MAIN_TEACHING,dset_a4b_ionic_en,comp_species_liq_real,m10a3_sel_bnd_electrolyte_gde_top,"((-(-((0.0384399999999978[A])/(0.00384400000000000[m^2]*(10.0071933411891[A/m^2]))*(sqrt((withsol('sol19',cd.nIl))^2))))/F_const)*(6.941e-3[kg/mol])/(534[kg/m^3]))*(1170.65556711765[s])",2,1,true,false,1.3199763586860597e-09,2.7709394586363824e-06,PASS,Accepted expression recovered programmatically; common reaction-plane framing
viz05_h54,V05 | LI-EQUIVALENT | 54 C | NUMERICAL UPPER BOUND f=1,V05_LI_EQUIVALENT,MAIN_TEACHING,dset_a4b_ionic_en,comp_species_liq_real,m10a3_sel_bnd_electrolyte_gde_top,"((-(-((0.0384399999999978[A])/(0.00384400000000000[m^2]*(10.0071933411891[A/m^2]))*(sqrt((withsol('sol19',cd.nIl))^2))))/F_const)*(6.941e-3[kg/mol])/(534[kg/m^3]))*(1404.78668054118[s])",2,1,true,false,1.5839716304232717e-09,3.3251273503636584e-06,PASS,Accepted expression recovered programmatically; common reaction-plane framing
viz05_h99,V05 | LI-EQUIVALENT | 99 C | NUMERICAL UPPER BOUND f=1,V05_LI_EQUIVALENT,MAIN_TEACHING,dset_a4b_ionic_en,comp_species_liq_real,m10a3_sel_bnd_electrolyte_gde_top,"((-(-((0.0384399999999978[A])/(0.00384400000000000[m^2]*(10.0071933411891[A/m^2]))*(sqrt((withsol('sol19',cd.nIl))^2))))/F_const)*(6.941e-3[kg/mol])/(534[kg/m^3]))*(2575.44224765884[s])",2,1,true,false,2.9039479891093436e-09,6.0960668090000660e-06,PASS,Accepted expression recovered programmatically; common reaction-plane framing
viz05_h297,V05 | LI-EQUIVALENT | 297 C | NUMERICAL UPPER BOUND f=1,V05_LI_EQUIVALENT,MAIN_TEACHING,dset_a4b_ionic_en,comp_species_liq_real,m10a3_sel_bnd_electrolyte_gde_top,"((-(-((0.0384399999999978[A])/(0.00384400000000000[m^2]*(10.0071933411891[A/m^2]))*(sqrt((withsol('sol19',cd.nIl))^2))))/F_const)*(6.941e-3[kg/mol])/(534[kg/m^3]))*(7726.32674297651[s])",2,1,true,false,8.7118439673280170e-09,1.8288200427000170e-05,PASS,Accepted expression recovered programmatically; common reaction-plane framing
viz06_n2_current,V06 | CO-LIMITATION | N2-current overlap | DIAGNOSTIC ONLY,V06_COLIMITATION,MAIN_TEACHING,dset_a4b_ionic_en,comp_species_liq_real,m10a3_sel_bnd_electrolyte_gde_top,"if(((withsol('sol15',cN2d))>=(1.23873815059718[mol/m^3])),1,0)+2*if(((sqrt((withsol('sol19',cd.nIl))^2))>=(11.2120528939174[A/m^2])),1,0)",2,1,true,false,0.0000000000000000,3.0000000000000000,PASS,Accepted expression recovered programmatically; common reaction-plane framing
viz06_donor_current,V06 | CO-LIMITATION | GENERIC DONOR-current overlap | CALIBRATION REQUIRED | DIAGNOSTIC ONLY,V06_COLIMITATION,MAIN_TEACHING,dset_a4b_ionic_en,comp_species_liq_real,m10a3_sel_bnd_electrolyte_gde_top,"if(((withsol('sol15',cDonor))>=(1.00000000000000[mol/m^3])),1,0)+2*if(((sqrt((withsol('sol19',cd.nIl))^2))>=(11.2120528939174[A/m^2])),1,0)",2,1,true,false,1.0000000000000000,3.0000000000000000,PASS,Accepted expression recovered programmatically; common reaction-plane framing
viz06_colim,V06 | CO-LIMITATION | Four-field co-limitation | DIAGNOSTIC ONLY,V06_COLIMITATION,MAIN_TEACHING,dset_a4b_ionic_en,comp_species_liq_real,m10a3_sel_bnd_electrolyte_gde_top,"if(((withsol('sol15',cN2d))>=(1.23873815059718[mol/m^3])),1,0)+2*if(((cLi_a4b)>=(1693.33555351719[mol/m^3])),1,0)+4*if(((withsol('sol15',cDonor))>=(1.00000000000000[mol/m^3])),1,0)+8*if(((sqrt((withsol('sol19',cd.nIl))^2))>=(11.2120528939174[A/m^2])),1,0)",2,1,true,false,4.0000000000000000,15.000000000000000,PASS,Accepted expression recovered programmatically; common reaction-plane framing
viz06_robustness,V06 | CO-LIMITATION | Threshold robustness q=0.40/0.50/0.60 | DIAGNOSTIC ONLY,V06_COLIMITATION,MAIN_SUPPORT,dset_a4b_ionic_en,comp_species_liq_real,m10a3_sel_bnd_electrolyte_gde_top,"if(((withsol('sol15',cN2d))>=(1.23873815059718[mol/m^3]))&&((cLi_a4b)>=(1693.33555351719[mol/m^3]))&&((withsol('sol15',cDonor))>=(1.00000000000000[mol/m^3]))&&((sqrt((withsol('sol19',cd.nIl))^2))>=(11.2120528939174[A/m^2])),1,0)",2,1,true,false,0.0000000000000000,1.0000000000000000,PASS,Accepted expression recovered programmatically; common reaction-plane framing
viz07_ohmic_drop,V07 | ELECTRICAL | Electrolyte ohmic-drop diagnostic | NOT FULL-CELL VOLTAGE,V07_ELECTRICAL,MAIN_SUPPORT,dset_a4a_ohmic,comp_species_liq_real,m10a3_sel_dom_electrolyte_fluid,cd.phil,3,1,true,false,0.0000000000000000,0.42349317936845965,PASS,Supporting diagnostic
viz07_joule,V07 | ELECTRICAL | Joule-source diagnostic | NO THERMAL FEEDBACK,V07_ELECTRICAL,MAIN_SUPPORT,dset_a4a_ohmic,comp_species_liq_real,m10a3_sel_dom_electrolyte_fluid,q_ohmic_a4a,3,1,true,false,0.0000000000000000,3268.9777412361286,PASS,Supporting diagnostic; no thermal feedback
vizfb01_n2_velocity,V01 | FLOW | N2 velocity | ACCEPTED PRECOMPACTION VISUALIZATION SOURCE | LOG DISPLAY OF MAGNITUDE,V01_FLOW,MAIN_TEACHING,dset_n2_solution,comp_n2_flow,sel_dom_n2_channel,sqrt(u2^2+v2^2+w2^2),3,1,true,false,0.0000000000000000,1.2478992176913275,PASS,ACCEPTED_PRECOMPACTION_VISUALIZATION_SOURCE; source_sha256=E51EFEBA7AD3DF67FE0759D4A279A6C7B82758508E58D519EE7658888E321887; compact M10A4 remains scientific identity authority; not embedded in VISUAL_REVIEW.mph
vizfb01_n2_pressure,V01 | FLOW | N2 pressure | ACCEPTED PRECOMPACTION VISUALIZATION SOURCE,V01_FLOW,MAIN_TEACHING,dset_n2_solution,comp_n2_flow,sel_dom_n2_channel,p2,3,1,true,false,0.13367878336149402,96.634924815979230,PASS,ACCEPTED_PRECOMPACTION_VISUALIZATION_SOURCE; source_sha256=E51EFEBA7AD3DF67FE0759D4A279A6C7B82758508E58D519EE7658888E321887; compact M10A4 remains scientific identity authority; not embedded in VISUAL_REVIEW.mph
vizfb01_n2_streamlines,V01 | FLOW | N2 streamlines | ACCEPTED PRECOMPACTION VISUALIZATION SOURCE,V01_FLOW,MAIN_TEACHING,dset_n2_solution,comp_n2_flow,sel_dom_n2_channel,sqrt(u2^2+v2^2+w2^2),3,1,true,false,0.0000000000000000,1.2478992176913275,PASS,ACCEPTED_PRECOMPACTION_VISUALIZATION_SOURCE; source_sha256=E51EFEBA7AD3DF67FE0759D4A279A6C7B82758508E58D519EE7658888E321887; compact M10A4 remains scientific identity authority; not embedded in VISUAL_REVIEW.mph
