diagnostic,threshold_quantile,category,area_fraction,area,unit,normalization_method,weighting,source_fields,source_class,scientific_status,robustness_status,notes
N2_LI_DONOR_CURRENT_COLIMITATION,0.600000000000000,LI_LIMITED,0.0495300879206643,0.000190393657967033,m^2,AREA_WEIGHTED_QUANTILE_HIGH_GE_RAW_THRESHOLD,AREA_WEIGHTED_SURFACE_QUADRATURE,cN2d;cLi_a4b;cDonor;cd.nIl,SPATIAL_CO_LIMITATION_DIAGNOSTIC,SPATIAL_CO_LIMITATION_DIAGNOSTIC,THRESHOLD_SENSITIVITY,precedence MULTI>BALANCED>LI>DONOR>CURRENT_N2>N2_CURRENT>MIXED; NOT rate/FE/mechanism
N2_LI_DONOR_CURRENT_COLIMITATION,0.600000000000000,DONOR_LIMITED,0.00000000000000,,1,AREA_WEIGHTED_QUANTILE_HIGH_GE_RAW_THRESHOLD,AREA_WEIGHTED_SURFACE_QUADRATURE,cN2d;cLi_a4b;cDonor;cd.nIl,SPATIAL_CO_LIMITATION_DIAGNOSTIC,SPATIAL_CO_LIMITATION_DIAGNOSTIC,THRESHOLD_SENSITIVITY,precedence MULTI>BALANCED>LI>DONOR>CURRENT_N2>N2_CURRENT>MIXED; NOT rate/FE/mechanism
N2_LI_DONOR_CURRENT_COLIMITATION,0.600000000000000,BALANCED,0.0985842531916003,0.000378957869268511,m^2,AREA_WEIGHTED_QUANTILE_HIGH_GE_RAW_THRESHOLD,AREA_WEIGHTED_SURFACE_QUADRATURE,cN2d;cLi_a4b;cDonor;cd.nIl,SPATIAL_CO_LIMITATION_DIAGNOSTIC,SPATIAL_CO_LIMITATION_DIAGNOSTIC,THRESHOLD_SENSITIVITY,precedence MULTI>BALANCED>LI>DONOR>CURRENT_N2>N2_CURRENT>MIXED; NOT rate/FE/mechanism
N2_LI_DONOR_CURRENT_COLIMITATION,0.600000000000000,MULTI_LIMITED,0.450442097007671,0.00173149942089748,m^2,AREA_WEIGHTED_QUANTILE_HIGH_GE_RAW_THRESHOLD,AREA_WEIGHTED_SURFACE_QUADRATURE,cN2d;cLi_a4b;cDonor;cd.nIl,SPATIAL_CO_LIMITATION_DIAGNOSTIC,SPATIAL_CO_LIMITATION_DIAGNOSTIC,THRESHOLD_SENSITIVITY,precedence MULTI>BALANCED>LI>DONOR>CURRENT_N2>N2_CURRENT>MIXED; NOT rate/FE/mechanism
N2_LI_DONOR_CURRENT_COLIMITATION,0.600000000000000,MIXED_UNCLASSIFIED,0.0889212580336021,0.000341813315881166,m^2,AREA_WEIGHTED_QUANTILE_HIGH_GE_RAW_THRESHOLD,AREA_WEIGHTED_SURFACE_QUADRATURE,cN2d;cLi_a4b;cDonor;cd.nIl,SPATIAL_CO_LIMITATION_DIAGNOSTIC,SPATIAL_CO_LIMITATION_DIAGNOSTIC,THRESHOLD_SENSITIVITY,precedence MULTI>BALANCED>LI>DONOR>CURRENT_N2>N2_CURRENT>MIXED; NOT rate/FE/mechanism
CATEGORY_CLOSURE,0.600000000000000,SUM,1.00000000000000,0.00384400000000000,m^2,AREA_WEIGHTED,AREA_WEIGHTED_SURFACE_QUADRATURE,all four frozen fields,SPATIAL_CO_LIMITATION_DIAGNOSTIC,SPATIAL_CO_LIMITATION_DIAGNOSTIC,PASS,sum area fractions; residual=2.66453525910038e-15
FIELD_SPATIAL_CV,0.500000000000000,N2,0.146852436985099,,1,RAW_FIELD_AREA_WEIGHTED_CV,AREA_WEIGHTED_SURFACE_QUADRATURE,N2,SPATIAL_CO_LIMITATION_DIAGNOSTIC,SPATIAL_CO_LIMITATION_DIAGNOSTIC,DIAGNOSTIC_ONLY,raw variable/unit=mol/m^3
FIELD_SPATIAL_CV,0.500000000000000,Li+,0.00991705787228380,,1,RAW_FIELD_AREA_WEIGHTED_CV,AREA_WEIGHTED_SURFACE_QUADRATURE,Li+,SPATIAL_CO_LIMITATION_DIAGNOSTIC,SPATIAL_CO_LIMITATION_DIAGNOSTIC,DIAGNOSTIC_ONLY,raw variable/unit=mol/m^3
FIELD_SPATIAL_CV,0.500000000000000,GENERIC_DONOR,0.00000000000000,,1,RAW_FIELD_AREA_WEIGHTED_CV,AREA_WEIGHTED_SURFACE_QUADRATURE,GENERIC_DONOR,SPATIAL_CO_LIMITATION_DIAGNOSTIC,SPATIAL_CO_LIMITATION_DIAGNOSTIC,DIAGNOSTIC_ONLY,raw variable/unit=mol/m^3
FIELD_SPATIAL_CV,0.500000000000000,CURRENT_MAGNITUDE,0.309354151871061,,1,RAW_FIELD_AREA_WEIGHTED_CV,AREA_WEIGHTED_SURFACE_QUADRATURE,CURRENT_MAGNITUDE,SPATIAL_CO_LIMITATION_DIAGNOSTIC,SPATIAL_CO_LIMITATION_DIAGNOSTIC,DIAGNOSTIC_ONLY,raw variable/unit=A/m^2
THRESHOLD_ROBUSTNESS,0.500000000000000,CURRENT_RICH_N2_POOR,0.0126039353065073,,1,MAX_MINUS_MIN_AREA_FRACTION_Q40_Q50_Q60,AREA_WEIGHTED_SURFACE_QUADRATURE,all four frozen fields,SPATIAL_CO_LIMITATION_DIAGNOSTIC,SPATIAL_CO_LIMITATION_DIAGNOSTIC,ROBUST_SPATIAL_ASSOCIATION,diagnostic robustness; no causality
THRESHOLD_ROBUSTNESS,0.500000000000000,N2_RICH_CURRENT_POOR,0.0129594479727852,,1,MAX_MINUS_MIN_AREA_FRACTION_Q40_Q50_Q60,AREA_WEIGHTED_SURFACE_QUADRATURE,all four frozen fields,SPATIAL_CO_LIMITATION_DIAGNOSTIC,SPATIAL_CO_LIMITATION_DIAGNOSTIC,ROBUST_SPATIAL_ASSOCIATION,diagnostic robustness; no causality
THRESHOLD_ROBUSTNESS,0.500000000000000,LI_LIMITED,0.0186757340935945,,1,MAX_MINUS_MIN_AREA_FRACTION_Q40_Q50_Q60,AREA_WEIGHTED_SURFACE_QUADRATURE,all four frozen fields,SPATIAL_CO_LIMITATION_DIAGNOSTIC,SPATIAL_CO_LIMITATION_DIAGNOSTIC,ROBUST_SPATIAL_ASSOCIATION,diagnostic robustness; no causality
THRESHOLD_ROBUSTNESS,0.500000000000000,DONOR_LIMITED,0.00000000000000,,1,MAX_MINUS_MIN_AREA_FRACTION_Q40_Q50_Q60,AREA_WEIGHTED_SURFACE_QUADRATURE,all four frozen fields,SPATIAL_CO_LIMITATION_DIAGNOSTIC,SPATIAL_CO_LIMITATION_DIAGNOSTIC,ROBUST_SPATIAL_ASSOCIATION,diagnostic robustness; no causality
THRESHOLD_ROBUSTNESS,0.500000000000000,BALANCED,0.194187670147540,,1,MAX_MINUS_MIN_AREA_FRACTION_Q40_Q50_Q60,AREA_WEIGHTED_SURFACE_QUADRATURE,all four frozen fields,SPATIAL_CO_LIMITATION_DIAGNOSTIC,SPATIAL_CO_LIMITATION_DIAGNOSTIC,THRESHOLD_SENSITIVE,diagnostic robustness; no causality
THRESHOLD_ROBUSTNESS,0.500000000000000,MULTI_LIMITED,0.143825780613429,,1,MAX_MINUS_MIN_AREA_FRACTION_Q40_Q50_Q60,AREA_WEIGHTED_SURFACE_QUADRATURE,all four frozen fields,SPATIAL_CO_LIMITATION_DIAGNOSTIC,SPATIAL_CO_LIMITATION_DIAGNOSTIC,THRESHOLD_SENSITIVE,diagnostic robustness; no causality
THRESHOLD_ROBUSTNESS,0.500000000000000,MIXED_UNCLASSIFIED,0.0678307870319292,,1,MAX_MINUS_MIN_AREA_FRACTION_Q40_Q50_Q60,AREA_WEIGHTED_SURFACE_QUADRATURE,all four frozen fields,SPATIAL_CO_LIMITATION_DIAGNOSTIC,SPATIAL_CO_LIMITATION_DIAGNOSTIC,ROBUST_SPATIAL_ASSOCIATION,diagnostic robustness; no causality
