index_id,section,title,artifact,source_model,source_sha256,source_classification,scientific_scope,status
V02-02,V02_SPECIES,Dissolved N2,evidence/PaperV1_Visualization/images/dissolved_n2.png,LiNRR_M10A4_ionic_current_li_plating.mph,FADEEA4D8ADF9E472B4B855B05E39C22EF418214C0F62FB0C1977ACA36DA667B,RETAINED_CANONICAL,Final retained sol15 state,PASS
V02-03,V02_SPECIES,Generic donor,evidence/PaperV1_Visualization/images/generic_donor.png,LiNRR_M10A4_ionic_current_li_plating.mph,FADEEA4D8ADF9E472B4B855B05E39C22EF418214C0F62FB0C1977ACA36DA667B,RETAINED_CANONICAL,GENERIC DONOR calibration required,PASS
V03-01,V03_IONICS,Electrolyte potential,evidence/PaperV1_Visualization/images/electrolyte_potential.png,LiNRR_M10A4_ionic_current_li_plating.mph,FADEEA4D8ADF9E472B4B855B05E39C22EF418214C0F62FB0C1977ACA36DA667B,RETAINED_CANONICAL,Not full-cell voltage,PASS
V03-02,V03_IONICS,Li concentration,evidence/PaperV1_Visualization/images/li_concentration.png,LiNRR_M10A4_ionic_current_li_plating.mph,FADEEA4D8ADF9E472B4B855B05E39C22EF418214C0F62FB0C1977ACA36DA667B,RETAINED_CANONICAL,Provisional sensitivity,PASS
V04-01,V04_CURRENT,Cathode current,evidence/PaperV1_Visualization/images/cathode_current.png,LiNRR_M10A4_ionic_current_li_plating.mph,FADEEA4D8ADF9E472B4B855B05E39C22EF418214C0F62FB0C1977ACA36DA667B,RETAINED_CANONICAL,Accepted reaction-plane expression,PASS
V05-01,V05_LI_EQUIVALENT,9 C Li-equivalent,evidence/PaperV1_Visualization/images/li_equivalent_9C.png,LiNRR_M10A4_ionic_current_li_plating.mph,FADEEA4D8ADF9E472B4B855B05E39C22EF418214C0F62FB0C1977ACA36DA667B,RETAINED_CANONICAL,Numerical upper bound f=1 not retained Li,PASS
V05-02,V05_LI_EQUIVALENT,297 C Li-equivalent,evidence/PaperV1_Visualization/images/li_equivalent_297C.png,LiNRR_M10A4_ionic_current_li_plating.mph,FADEEA4D8ADF9E472B4B855B05E39C22EF418214C0F62FB0C1977ACA36DA667B,RETAINED_CANONICAL,Numerical upper bound f=1 not retained Li,PASS
V06-01,V06_COLIMITATION,N2-current overlap,evidence/PaperV1_Visualization/images/n2_current_overlap.png,LiNRR_M10A4_ionic_current_li_plating.mph,FADEEA4D8ADF9E472B4B855B05E39C22EF418214C0F62FB0C1977ACA36DA667B,RETAINED_DERIVED,Diagnostic only not NH3 rate or FE,PASS
V06-02,V06_COLIMITATION,Generic donor-current overlap,evidence/PaperV1_Visualization/images/donor_current_overlap.png,LiNRR_M10A4_ionic_current_li_plating.mph,FADEEA4D8ADF9E472B4B855B05E39C22EF418214C0F62FB0C1977ACA36DA667B,RETAINED_DERIVED,Diagnostic only calibration required,PASS
V06-03,V06_COLIMITATION,Four-field co-limitation,evidence/PaperV1_Visualization/images/four_field_colimitation.png,LiNRR_M10A4_ionic_current_li_plating.mph,FADEEA4D8ADF9E472B4B855B05E39C22EF418214C0F62FB0C1977ACA36DA667B,RETAINED_DERIVED,Diagnostic only not NH3 rate or FE,PASS
