"sample_id","quantity_name","target_parameter","value_SI","uncertainty_SI","unit","data_origin","evidence_status","resolution_method","source_table","source_rows","source_reference","source_sha256","status","failure_reason"
"SYN_DRY_001","GDE_exposed_area","","0.0028500000000000001","2.0000000000000002E-05","m^2","SYNTHETIC","SYNTHETIC_DEFINED","UNIQUE_VALIDATED_SYNTHETIC_SOURCE_ROW","config/M03A_4_area_measurements.csv","7","M03A.4 synthetic area contract","3b541686f4da98b2210a675ad78b3719d3a6db3ec9152645f8fe22b5f17a9645","PASS",""
"SYN_DRY_001","EIS_area","A_EIS_dry_run","0.0030249999999999999","6.0000000000000002E-06","m^2","SYNTHETIC","SYNTHETIC_DEFINED","UNIQUE_VALIDATED_SYNTHETIC_SOURCE_ROW","config/M03A_4_area_measurements.csv","8","M03A.4 synthetic area contract","3b541686f4da98b2210a675ad78b3719d3a6db3ec9152645f8fe22b5f17a9645","PASS",""
"SYN_DRY_001","current_density_reporting_area","A_j_report_dry_run","0.0027499999999999998","2.0000000000000002E-05","m^2","SYNTHETIC","SYNTHETIC_DEFINED","UNIQUE_VALIDATED_SYNTHETIC_SOURCE_ROW","config/M03A_4_area_measurements.csv","9","M03A.4 synthetic area contract","3b541686f4da98b2210a675ad78b3719d3a6db3ec9152645f8fe22b5f17a9645","PASS",""
"SYN_DRY_001","conductivity","kappa_dry_run","0.49996484622208581","0.0027356717499353485","S/m","SYNTHETIC","DERIVED_HFR_CONDUCTIVITY","H_OVER_A_EIS_R_ELECTROLYTE","results/tables/M03A_4_parent_provenance.csv","2;3;4;5;6;7;8","conductivity_parent_digest_sha256=11ddf2b8ac680291afefbac08a66c9ad86311da4431b1c7e952b411e16768016","11ddf2b8ac680291afefbac08a66c9ad86311da4431b1c7e952b411e16768016","PASS",""
"SYN_DRY_001","direct_conductivity","","0.505","0.01","S/m","SYNTHETIC","SYNTHETIC_DEFINED","VALIDATED_DIRECT_CONDUCTIVITY","config/M03A_4_direct_conductivity.csv","2","M03A.4 synthetic conductivity contract","735d4849c599064572c35421ff32fd6e7775d707f86ce2b5896e4fb05b08108d","PASS",""
"IDENTITY_REFERENCE","conductivity","kappa_dry_run","0.49996484622208592","0","S/m","SYNTHETIC","SYNTHETIC_DEFINED","RESOLVED_HFR_CHAIN","config/M03A_4_transfer_cases.csv","2","M03A.4 resolved-input chain","a24d1727419c1f2a8fbb9b364859bbb2a4ef4fbc62c4669244cd19b1b79d4379","PASS",""
"IDENTITY_REFERENCE","electrode_spacing","Hcell_dry_run","0.0040000000000000001","0","m","SYNTHETIC","SYNTHETIC_DEFINED","WHITELIST_IDENTITY_TRANSFER","config/M03A_4_transfer_cases.csv","2","M03A.4 resolved-input chain","a24d1727419c1f2a8fbb9b364859bbb2a4ef4fbc62c4669244cd19b1b79d4379","PASS",""
"IDENTITY_REFERENCE","out_of_plane_thickness","depth_dry_run","0.055","0","m","SYNTHETIC","SYNTHETIC_DEFINED","WHITELIST_IDENTITY_TRANSFER","config/M03A_4_transfer_cases.csv","2","M03A.4 resolved-input chain","a24d1727419c1f2a8fbb9b364859bbb2a4ef4fbc62c4669244cd19b1b79d4379","PASS",""
"IDENTITY_REFERENCE","EIS_area","A_EIS_dry_run","0.0030249999999999999","0","m^2","SYNTHETIC","SYNTHETIC_DEFINED","WHITELIST_IDENTITY_TRANSFER","config/M03A_4_transfer_cases.csv","2","M03A.4 resolved-input chain","a24d1727419c1f2a8fbb9b364859bbb2a4ef4fbc62c4669244cd19b1b79d4379","PASS",""
"IDENTITY_REFERENCE","current_density_reporting_area","A_j_report_dry_run","0.0027499999999999998","0","m^2","SYNTHETIC","SYNTHETIC_DEFINED","WHITELIST_IDENTITY_TRANSFER","config/M03A_4_transfer_cases.csv","2","M03A.4 resolved-input chain","a24d1727419c1f2a8fbb9b364859bbb2a4ef4fbc62c4669244cd19b1b79d4379","PASS",""
"KAPPA_PERTURBATION","conductivity","kappa_dry_run","0.62495605777760743","0","S/m","SYNTHETIC","SYNTHETIC_DEFINED","SYNTHETIC_CONDUCTIVITY_PERTURBATION","config/M03A_4_transfer_cases.csv","3","M03A.4 transfer response contract","a24d1727419c1f2a8fbb9b364859bbb2a4ef4fbc62c4669244cd19b1b79d4379","PASS",""
"KAPPA_PERTURBATION","electrode_spacing","Hcell_dry_run","0.0040000000000000001","0","m","SYNTHETIC","SYNTHETIC_DEFINED","WHITELIST_IDENTITY_TRANSFER","config/M03A_4_transfer_cases.csv","3","M03A.4 transfer response contract","a24d1727419c1f2a8fbb9b364859bbb2a4ef4fbc62c4669244cd19b1b79d4379","PASS",""
"KAPPA_PERTURBATION","out_of_plane_thickness","depth_dry_run","0.055","0","m","SYNTHETIC","SYNTHETIC_DEFINED","WHITELIST_IDENTITY_TRANSFER","config/M03A_4_transfer_cases.csv","3","M03A.4 transfer response contract","a24d1727419c1f2a8fbb9b364859bbb2a4ef4fbc62c4669244cd19b1b79d4379","PASS",""
"KAPPA_PERTURBATION","EIS_area","A_EIS_dry_run","0.0030249999999999999","0","m^2","SYNTHETIC","SYNTHETIC_DEFINED","WHITELIST_IDENTITY_TRANSFER","config/M03A_4_transfer_cases.csv","3","M03A.4 transfer response contract","a24d1727419c1f2a8fbb9b364859bbb2a4ef4fbc62c4669244cd19b1b79d4379","PASS",""
"KAPPA_PERTURBATION","current_density_reporting_area","A_j_report_dry_run","0.0027499999999999998","0","m^2","SYNTHETIC","SYNTHETIC_DEFINED","WHITELIST_IDENTITY_TRANSFER","config/M03A_4_transfer_cases.csv","3","M03A.4 transfer response contract","a24d1727419c1f2a8fbb9b364859bbb2a4ef4fbc62c4669244cd19b1b79d4379","PASS",""
"HCELL_PERTURBATION","conductivity","kappa_dry_run","0.49996484622208592","0","S/m","SYNTHETIC","SYNTHETIC_DEFINED","RESOLVED_CONDUCTIVITY_HELD","config/M03A_4_transfer_cases.csv","4","M03A.4 transfer response contract","a24d1727419c1f2a8fbb9b364859bbb2a4ef4fbc62c4669244cd19b1b79d4379","PASS",""
"HCELL_PERTURBATION","electrode_spacing","Hcell_dry_run","0.0050000000000000001","0","m","SYNTHETIC","SYNTHETIC_DEFINED","WHITELIST_IDENTITY_TRANSFER","config/M03A_4_transfer_cases.csv","4","M03A.4 transfer response contract","a24d1727419c1f2a8fbb9b364859bbb2a4ef4fbc62c4669244cd19b1b79d4379","PASS",""
"HCELL_PERTURBATION","out_of_plane_thickness","depth_dry_run","0.055","0","m","SYNTHETIC","SYNTHETIC_DEFINED","WHITELIST_IDENTITY_TRANSFER","config/M03A_4_transfer_cases.csv","4","M03A.4 transfer response contract","a24d1727419c1f2a8fbb9b364859bbb2a4ef4fbc62c4669244cd19b1b79d4379","PASS",""
"HCELL_PERTURBATION","EIS_area","A_EIS_dry_run","0.0030249999999999999","0","m^2","SYNTHETIC","SYNTHETIC_DEFINED","WHITELIST_IDENTITY_TRANSFER","config/M03A_4_transfer_cases.csv","4","M03A.4 transfer response contract","a24d1727419c1f2a8fbb9b364859bbb2a4ef4fbc62c4669244cd19b1b79d4379","PASS",""
"HCELL_PERTURBATION","current_density_reporting_area","A_j_report_dry_run","0.0027499999999999998","0","m^2","SYNTHETIC","SYNTHETIC_DEFINED","WHITELIST_IDENTITY_TRANSFER","config/M03A_4_transfer_cases.csv","4","M03A.4 transfer response contract","a24d1727419c1f2a8fbb9b364859bbb2a4ef4fbc62c4669244cd19b1b79d4379","PASS",""
"DEPTH_PERTURBATION","conductivity","kappa_dry_run","0.49996484622208592","0","S/m","SYNTHETIC","SYNTHETIC_DEFINED","RESOLVED_CONDUCTIVITY_HELD","config/M03A_4_transfer_cases.csv","5","M03A.4 transfer response contract","a24d1727419c1f2a8fbb9b364859bbb2a4ef4fbc62c4669244cd19b1b79d4379","PASS",""
"DEPTH_PERTURBATION","electrode_spacing","Hcell_dry_run","0.0040000000000000001","0","m","SYNTHETIC","SYNTHETIC_DEFINED","WHITELIST_IDENTITY_TRANSFER","config/M03A_4_transfer_cases.csv","5","M03A.4 transfer response contract","a24d1727419c1f2a8fbb9b364859bbb2a4ef4fbc62c4669244cd19b1b79d4379","PASS",""
"DEPTH_PERTURBATION","out_of_plane_thickness","depth_dry_run","0.043999999999999997","0","m","SYNTHETIC","SYNTHETIC_DEFINED","WHITELIST_IDENTITY_TRANSFER","config/M03A_4_transfer_cases.csv","5","M03A.4 transfer response contract","a24d1727419c1f2a8fbb9b364859bbb2a4ef4fbc62c4669244cd19b1b79d4379","PASS",""
"DEPTH_PERTURBATION","EIS_area","A_EIS_dry_run","0.0030249999999999999","0","m^2","SYNTHETIC","SYNTHETIC_DEFINED","WHITELIST_IDENTITY_TRANSFER","config/M03A_4_transfer_cases.csv","5","M03A.4 transfer response contract","a24d1727419c1f2a8fbb9b364859bbb2a4ef4fbc62c4669244cd19b1b79d4379","PASS",""
"DEPTH_PERTURBATION","current_density_reporting_area","A_j_report_dry_run","0.0027499999999999998","0","m^2","SYNTHETIC","SYNTHETIC_DEFINED","WHITELIST_IDENTITY_TRANSFER","config/M03A_4_transfer_cases.csv","5","M03A.4 transfer response contract","a24d1727419c1f2a8fbb9b364859bbb2a4ef4fbc62c4669244cd19b1b79d4379","PASS",""
"EIS_AREA_PERTURBATION","conductivity","kappa_dry_run","0.41663737185173827","0","S/m","SYNTHETIC","SYNTHETIC_DEFINED","HFR_REINVERSION_WITH_PERTURBED_EIS_AREA","config/M03A_4_transfer_cases.csv","6","M03A.4 transfer response contract","a24d1727419c1f2a8fbb9b364859bbb2a4ef4fbc62c4669244cd19b1b79d4379","PASS",""
"EIS_AREA_PERTURBATION","electrode_spacing","Hcell_dry_run","0.0040000000000000001","0","m","SYNTHETIC","SYNTHETIC_DEFINED","WHITELIST_IDENTITY_TRANSFER","config/M03A_4_transfer_cases.csv","6","M03A.4 transfer response contract","a24d1727419c1f2a8fbb9b364859bbb2a4ef4fbc62c4669244cd19b1b79d4379","PASS",""
"EIS_AREA_PERTURBATION","out_of_plane_thickness","depth_dry_run","0.055","0","m","SYNTHETIC","SYNTHETIC_DEFINED","WHITELIST_IDENTITY_TRANSFER","config/M03A_4_transfer_cases.csv","6","M03A.4 transfer response contract","a24d1727419c1f2a8fbb9b364859bbb2a4ef4fbc62c4669244cd19b1b79d4379","PASS",""
"EIS_AREA_PERTURBATION","EIS_area","A_EIS_dry_run","0.00363","0","m^2","SYNTHETIC","SYNTHETIC_DEFINED","WHITELIST_IDENTITY_TRANSFER","config/M03A_4_transfer_cases.csv","6","M03A.4 transfer response contract","a24d1727419c1f2a8fbb9b364859bbb2a4ef4fbc62c4669244cd19b1b79d4379","PASS",""
"EIS_AREA_PERTURBATION","current_density_reporting_area","A_j_report_dry_run","0.0027499999999999998","0","m^2","SYNTHETIC","SYNTHETIC_DEFINED","WHITELIST_IDENTITY_TRANSFER","config/M03A_4_transfer_cases.csv","6","M03A.4 transfer response contract","a24d1727419c1f2a8fbb9b364859bbb2a4ef4fbc62c4669244cd19b1b79d4379","PASS",""
"REPORT_AREA_PERTURBATION","conductivity","kappa_dry_run","0.49996484622208592","0","S/m","SYNTHETIC","SYNTHETIC_DEFINED","RESOLVED_CONDUCTIVITY_HELD","config/M03A_4_transfer_cases.csv","7","M03A.4 transfer response contract","a24d1727419c1f2a8fbb9b364859bbb2a4ef4fbc62c4669244cd19b1b79d4379","PASS",""
"REPORT_AREA_PERTURBATION","electrode_spacing","Hcell_dry_run","0.0040000000000000001","0","m","SYNTHETIC","SYNTHETIC_DEFINED","WHITELIST_IDENTITY_TRANSFER","config/M03A_4_transfer_cases.csv","7","M03A.4 transfer response contract","a24d1727419c1f2a8fbb9b364859bbb2a4ef4fbc62c4669244cd19b1b79d4379","PASS",""
"REPORT_AREA_PERTURBATION","out_of_plane_thickness","depth_dry_run","0.055","0","m","SYNTHETIC","SYNTHETIC_DEFINED","WHITELIST_IDENTITY_TRANSFER","config/M03A_4_transfer_cases.csv","7","M03A.4 transfer response contract","a24d1727419c1f2a8fbb9b364859bbb2a4ef4fbc62c4669244cd19b1b79d4379","PASS",""
"REPORT_AREA_PERTURBATION","EIS_area","A_EIS_dry_run","0.0030249999999999999","0","m^2","SYNTHETIC","SYNTHETIC_DEFINED","WHITELIST_IDENTITY_TRANSFER","config/M03A_4_transfer_cases.csv","7","M03A.4 transfer response contract","a24d1727419c1f2a8fbb9b364859bbb2a4ef4fbc62c4669244cd19b1b79d4379","PASS",""
"REPORT_AREA_PERTURBATION","current_density_reporting_area","A_j_report_dry_run","0.0034375","0","m^2","SYNTHETIC","SYNTHETIC_DEFINED","WHITELIST_IDENTITY_TRANSFER","config/M03A_4_transfer_cases.csv","7","M03A.4 transfer response contract","a24d1727419c1f2a8fbb9b364859bbb2a4ef4fbc62c4669244cd19b1b79d4379","PASS",""
"COMBINED_NONIDENTITY","conductivity","kappa_dry_run","0.5454161958786391","0","S/m","SYNTHETIC","SYNTHETIC_DEFINED","HFR_REINVERSION_WITH_PERTURBED_SPACING_AND_EIS_AREA","config/M03A_4_transfer_cases.csv","8","M03A.4 transfer response contract","a24d1727419c1f2a8fbb9b364859bbb2a4ef4fbc62c4669244cd19b1b79d4379","PASS",""
"COMBINED_NONIDENTITY","electrode_spacing","Hcell_dry_run","0.0047999999999999996","0","m","SYNTHETIC","SYNTHETIC_DEFINED","WHITELIST_IDENTITY_TRANSFER","config/M03A_4_transfer_cases.csv","8","M03A.4 transfer response contract","a24d1727419c1f2a8fbb9b364859bbb2a4ef4fbc62c4669244cd19b1b79d4379","PASS",""
"COMBINED_NONIDENTITY","out_of_plane_thickness","depth_dry_run","0.049500000000000002","0","m","SYNTHETIC","SYNTHETIC_DEFINED","WHITELIST_IDENTITY_TRANSFER","config/M03A_4_transfer_cases.csv","8","M03A.4 transfer response contract","a24d1727419c1f2a8fbb9b364859bbb2a4ef4fbc62c4669244cd19b1b79d4379","PASS",""
"COMBINED_NONIDENTITY","EIS_area","A_EIS_dry_run","0.0033275000000000002","0","m^2","SYNTHETIC","SYNTHETIC_DEFINED","WHITELIST_IDENTITY_TRANSFER","config/M03A_4_transfer_cases.csv","8","M03A.4 transfer response contract","a24d1727419c1f2a8fbb9b364859bbb2a4ef4fbc62c4669244cd19b1b79d4379","PASS",""
"COMBINED_NONIDENTITY","current_density_reporting_area","A_j_report_dry_run","0.0030249999999999999","0","m^2","SYNTHETIC","SYNTHETIC_DEFINED","WHITELIST_IDENTITY_TRANSFER","config/M03A_4_transfer_cases.csv","8","M03A.4 transfer response contract","a24d1727419c1f2a8fbb9b364859bbb2a4ef4fbc62c4669244cd19b1b79d4379","PASS",""
