"sample_id","case_id","case_type","data_origin","predeclared_expected_outcome","observed_outcome","accuracy_threshold_relative","observed_relative_error","expected_outcome_check","accuracy_check","blocking_check","data_retention_check","source_provenance_check","status","run_state","calibration_mode","m03b_ready"
"S_C011","C011","INVALID_NUMERIC_DATA_STRING","SYNTHETIC","BLOCKED_INVALID_NUMERIC_DATA","BLOCKED_INVALID_NUMERIC_DATA","","","PASS","NOT_APPLICABLE","PASS","PASS","PASS","PASS","SYNTHETIC_SMOKE_TEST","PROVISIONAL","FALSE"
"S_C012","C012","UNSORTED_FREQUENCY","SYNTHETIC","PASS","PASS","0.05","1.5543122344752192E-15","PASS","PASS","NOT_APPLICABLE","PASS","PASS","PASS","SYNTHETIC_SMOKE_TEST","PROVISIONAL","FALSE"
"S_AGREE","C013","REPLICATE_CONSENSUS_AGREE","SYNTHETIC","PASS","PASS","0.05","1.5543122344752192E-15","PASS","PASS","NOT_APPLICABLE","PASS","PASS","PASS","SYNTHETIC_SMOKE_TEST","PROVISIONAL","FALSE"
"S_AGREE","C014","REPLICATE_CONSENSUS_AGREE","SYNTHETIC","PASS","PASS","0.05","1.75876914792104E-15","PASS","PASS","NOT_APPLICABLE","PASS","PASS","PASS","SYNTHETIC_SMOKE_TEST","PROVISIONAL","FALSE"
"S_DISAGREE","C015","THREE_REPLICATES_WITH_DISAGREEMENT","SYNTHETIC","REPLICATE_DISAGREEMENT","REPLICATE_DISAGREEMENT","0.05","1.5543122344752192E-15","PASS","PASS","NOT_APPLICABLE","PASS","PASS","PASS","SYNTHETIC_SMOKE_TEST","PROVISIONAL","FALSE"
"S_DISAGREE","C016","THREE_REPLICATES_WITH_DISAGREEMENT","SYNTHETIC","REPLICATE_DISAGREEMENT","REPLICATE_DISAGREEMENT","0.05","2.1147105230955362E-16","PASS","PASS","NOT_APPLICABLE","PASS","PASS","PASS","SYNTHETIC_SMOKE_TEST","PROVISIONAL","FALSE"
"S_DISAGREE","C017","THREE_REPLICATES_WITH_DISAGREEMENT","SYNTHETIC","REPLICATE_DISAGREEMENT","REPLICATE_DISAGREEMENT","0.05","1.4802973661668755E-15","PASS","PASS","NOT_APPLICABLE","PASS","PASS","PASS","SYNTHETIC_SMOKE_TEST","PROVISIONAL","FALSE"
"S_C018","C018","NEGATIVE_DEEMBEDDED_RESISTANCE","SYNTHETIC","BLOCKED_NEGATIVE_DEEMBEDDED_RESISTANCE","BLOCKED_NEGATIVE_DEEMBEDDED_RESISTANCE","0.05","2.7755575615628914E-16","PASS","PASS","PASS","PASS","PASS","PASS","SYNTHETIC_SMOKE_TEST","PROVISIONAL","FALSE"
"S_C019","C019","AREA_BASIS_CONFLICT","SYNTHETIC","AREA_BASIS_MISMATCH","AREA_BASIS_MISMATCH","0.05","1.5543122344752192E-15","PASS","PASS","PASS","PASS","PASS","PASS","SYNTHETIC_SMOKE_TEST","PROVISIONAL","FALSE"
"S_C020","C020","CONDUCTIVITY_CONFLICT","SYNTHETIC","CALIBRATION_CONFLICT","CALIBRATION_CONFLICT","0.05","1.5543122344752192E-15","PASS","PASS","NOT_APPLICABLE","PASS","PASS","PASS","SYNTHETIC_SMOKE_TEST","PROVISIONAL","FALSE"
"S_C021","C021","FAILED_INPUT_DISTRIBUTION","SYNTHETIC","FAILED_INPUT_DISTRIBUTION","FAILED_INPUT_DISTRIBUTION","0.05","1.5543122344752192E-15","PASS","PASS","PASS","PASS","PASS","PASS","SYNTHETIC_SMOKE_TEST","PROVISIONAL","FALSE"
"S_C022","C022","MISSING_SERIES_COMPONENT","SYNTHETIC","BLOCKED_MISSING_SERIES_COMPONENT","BLOCKED_MISSING_SERIES_COMPONENT","0.05","1.5543122344752192E-15","PASS","PASS","PASS","PASS","PASS","PASS","SYNTHETIC_SMOKE_TEST","PROVISIONAL","FALSE"
"EXP_C023","C023","EXPERIMENTAL_MANIFEST_INCOMPLETE","EXPERIMENTAL","EXPERIMENTAL_INPUT_INCOMPLETE","EXPERIMENTAL_INPUT_INCOMPLETE","","","PASS","NOT_APPLICABLE","PASS","NOT_APPLICABLE_NO_FILE","EXPECTED_INCOMPLETE_PROVENANCE","PASS","SYNTHETIC_SMOKE_TEST","PROVISIONAL","FALSE"
"S_C024","C024","UNIT_KHZ_MILLIOHM","SYNTHETIC","PASS","PASS","0.01","8.8817841970012523E-16","PASS","PASS","NOT_APPLICABLE","PASS","PASS","PASS","SYNTHETIC_SMOKE_TEST","PROVISIONAL","FALSE"
"S_C025","C025","USER_DEFINED_EQUIVALENT_CIRCUIT","SYNTHETIC","SUPPORTED_SYNTHETIC_RANDLES_ONLY","SUPPORTED_SYNTHETIC_RANDLES_ONLY","0.01","","PASS","PASS","NOT_APPLICABLE","PASS","PASS","PASS","SYNTHETIC_SMOKE_TEST","PROVISIONAL","FALSE"
"S_C026","C026","ZERO_DEEMBEDDED_RESISTANCE","SYNTHETIC","BLOCKED_NONPOSITIVE_DEEMBEDDED_RESISTANCE","BLOCKED_NONPOSITIVE_DEEMBEDDED_RESISTANCE","0.05","","PASS","PASS","PASS","PASS","PASS","PASS","SYNTHETIC_SMOKE_TEST","PROVISIONAL","FALSE"
"S_C027","C027","DUPLICATE_AND_UNSORTED","SYNTHETIC","WARNING_DUPLICATE_FREQUENCY","WARNING_DUPLICATE_FREQUENCY","0.05","6.6613381477509392E-16","PASS","PASS","NOT_APPLICABLE","PASS","PASS","PASS","SYNTHETIC_SMOKE_TEST","PROVISIONAL","FALSE"
"S_C028","C028","UNIT_MHZ_MILLIOHM","SYNTHETIC","PASS","PASS","0.01","8.8817841970012523E-16","PASS","PASS","NOT_APPLICABLE","PASS","PASS","PASS","SYNTHETIC_SMOKE_TEST","PROVISIONAL","FALSE"
"S_C029","C029","UNIT_MEGAHERTZ","SYNTHETIC","PASS","PASS","0.01","1.5543122344752192E-15","PASS","PASS","NOT_APPLICABLE","PASS","PASS","PASS","SYNTHETIC_SMOKE_TEST","PROVISIONAL","FALSE"
"S_C030","C030","HIGH_FREQUENCY_FAR_FROM_REAL_AXIS","SYNTHETIC","BLOCKED_INSUFFICIENT_HIGH_FREQUENCY_COVERAGE","BLOCKED_INSUFFICIENT_HIGH_FREQUENCY_COVERAGE","","","PASS","NOT_APPLICABLE","PASS","PASS","PASS","PASS","SYNTHETIC_SMOKE_TEST","PROVISIONAL","FALSE"
"S_C031","C031","AMBIGUOUS_UNICODE_IMPEDANCE_UNIT","SYNTHETIC","BLOCKED_UNSUPPORTED_IMPEDANCE_UNIT","BLOCKED_UNSUPPORTED_IMPEDANCE_UNIT","","","PASS","NOT_APPLICABLE","PASS","PASS","PASS","PASS","SYNTHETIC_SMOKE_TEST","PROVISIONAL","FALSE"
"S_C032","C032","EQUIVALENT_CIRCUIT_CONTRACT_INCOMPLETE","SYNTHETIC","BLOCKED_EQUIVALENT_CIRCUIT_CONTRACT","BLOCKED_EQUIVALENT_CIRCUIT_CONTRACT","","","PASS","NOT_APPLICABLE","PASS","PASS","EXPECTED_INCOMPLETE_PROVENANCE","PASS","SYNTHETIC_SMOKE_TEST","PROVISIONAL","FALSE"
"S_C033","C033","LEGACY_SYNTHETIC_FIXTURE_PRESERVED","SYNTHETIC","PASS","PASS","0.01","1.5543122344752192E-15","PASS","PASS","NOT_APPLICABLE","PASS","PASS","PASS","SYNTHETIC_SMOKE_TEST","PROVISIONAL","FALSE"
