"sample_id","replicate_id","case_id","method","method_class","HFR_ohm","HFR_uncertainty_ohm","selected_point_count","selected_original_rows","frequency_min_Hz","frequency_max_Hz","intercept_model","residual_metric","high_frequency_coverage_status","inductive_artifact_status","duplicate_frequency_status","fit_quality_status","status","failure_reason","source_file","equivalent_circuit","fitting_software","fit_file","Rs_ohm","Rs_standard_error_ohm","fit_quality_metric","fit_quality_value","source_reference","contract_status","notes","detail"
"S_AGREE","R2","C014","HIGH_FREQUENCY_INTERCEPT","HFR_ESTIMATOR","2.0200000000000036","3.428700862789664E-16","61","2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62","0.10000000000000001","1000000","FULL_ARC_CIRCLE_LEFT_REAL_INTERCEPT","6.6947524505959613E-16","PASS","NONE","NONE","PASS","PASS","","tests/fixtures/M03A_2/C014_replicate_agree_2.csv","","","","","","","","","","","full-arc circle model; complete-semicircle assumption is explicit"
"S_DISAGREE","R1","C015","FIRST_POINT_DIAGNOSTIC","LAB_SCREENING_HEURISTIC","2.0000000031662868","","1","2","1000000","1000000","FIRST_NORMALIZED_POINT","","NOT_ASSESSED","NOT_ASSESSED","NOT_ASSESSED","NOT_APPLICABLE","DIAGNOSTIC_ONLY_NOT_HFR","","tests/fixtures/M03A_2/C015_replicate_disagree_1.csv","","","","","","","","","","","screening only; never an HFR estimator"
"S_DISAGREE","R1","C015","HIGH_FREQUENCY_INTERCEPT","HFR_ESTIMATOR","1.9999999999999969","4.7525426742744206E-16","61","2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62","0.10000000000000001","1000000","FULL_ARC_CIRCLE_LEFT_REAL_INTERCEPT","9.2796362203710858E-16","PASS","NONE","NONE","PASS","PASS","","tests/fixtures/M03A_2/C015_replicate_disagree_1.csv","","","","","","","","","","","full-arc circle model; complete-semicircle assumption is explicit"
"S_DISAGREE","R2","C016","FIRST_POINT_DIAGNOSTIC","LAB_SCREENING_HEURISTIC","2.1000000031662869","","1","2","1000000","1000000","FIRST_NORMALIZED_POINT","","NOT_ASSESSED","NOT_ASSESSED","NOT_ASSESSED","NOT_APPLICABLE","DIAGNOSTIC_ONLY_NOT_HFR","","tests/fixtures/M03A_2/C016_replicate_disagree_2.csv","","","","","","","","","","","screening only; never an HFR estimator"
"S_DISAGREE","R2","C016","HIGH_FREQUENCY_INTERCEPT","HFR_ESTIMATOR","2.0999999999999996","3.3952094738580476E-16","61","2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62","0.10000000000000001","1000000","FULL_ARC_CIRCLE_LEFT_REAL_INTERCEPT","6.6293584232087586E-16","PASS","NONE","NONE","PASS","PASS","","tests/fixtures/M03A_2/C016_replicate_disagree_2.csv","","","","","","","","","","","full-arc circle model; complete-semicircle assumption is explicit"
"S_DISAGREE","R3","C017","FIRST_POINT_DIAGNOSTIC","LAB_SCREENING_HEURISTIC","3.0000000031662868","","1","2","1000000","1000000","FIRST_NORMALIZED_POINT","","NOT_ASSESSED","NOT_ASSESSED","NOT_ASSESSED","NOT_APPLICABLE","DIAGNOSTIC_ONLY_NOT_HFR","","tests/fixtures/M03A_2/C017_replicate_disagree_3.csv","","","","","","","","","","","screening only; never an HFR estimator"
"S_DISAGREE","R3","C017","HIGH_FREQUENCY_INTERCEPT","HFR_ESTIMATOR","2.9999999999999956","5.0774677706127235E-16","61","2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62","0.10000000000000001","1000000","FULL_ARC_CIRCLE_LEFT_REAL_INTERCEPT","9.9140727524636241E-16","PASS","NONE","NONE","PASS","PASS","","tests/fixtures/M03A_2/C017_replicate_disagree_3.csv","","","","","","","","","","","full-arc circle model; complete-semicircle assumption is explicit"
"S_C018","R1","C018","FIRST_POINT_DIAGNOSTIC","LAB_SCREENING_HEURISTIC","0.40000000000000002","","1","2","1000000","1000000","FIRST_NORMALIZED_POINT","","NOT_ASSESSED","NOT_ASSESSED","NOT_ASSESSED","NOT_APPLICABLE","DIAGNOSTIC_ONLY_NOT_HFR","","tests/fixtures/M03A_2/C018_negative_deembedded.csv","","","","","","","","","","","screening only; never an HFR estimator"
"S_C018","R1","C018","HIGH_FREQUENCY_INTERCEPT","HFR_ESTIMATOR","0.40000000000000013","0","41","2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42","0.10000000000000001","1000000","RESISTIVE_LEVEL","0","PASS","NONE","NONE","PASS","PASS","","tests/fixtures/M03A_2/C018_negative_deembedded.csv","","","","","","","","","","","resistive real-axis level"
"S_C019","R1","C019","FIRST_POINT_DIAGNOSTIC","LAB_SCREENING_HEURISTIC","2.0000000031662868","","1","2","1000000","1000000","FIRST_NORMALIZED_POINT","","NOT_ASSESSED","NOT_ASSESSED","NOT_ASSESSED","NOT_APPLICABLE","DIAGNOSTIC_ONLY_NOT_HFR","","tests/fixtures/M03A_2/C019_area_basis_conflict.csv","","","","","","","","","","","screening only; never an HFR estimator"
"S_C019","R1","C019","HIGH_FREQUENCY_INTERCEPT","HFR_ESTIMATOR","1.9999999999999969","4.7525426742744206E-16","61","2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62","0.10000000000000001","1000000","FULL_ARC_CIRCLE_LEFT_REAL_INTERCEPT","9.2796362203710858E-16","PASS","NONE","NONE","PASS","PASS","","tests/fixtures/M03A_2/C019_area_basis_conflict.csv","","","","","","","","","","","full-arc circle model; complete-semicircle assumption is explicit"
"S_C020","R1","C020","FIRST_POINT_DIAGNOSTIC","LAB_SCREENING_HEURISTIC","2.0000000031662868","","1","2","1000000","1000000","FIRST_NORMALIZED_POINT","","NOT_ASSESSED","NOT_ASSESSED","NOT_ASSESSED","NOT_APPLICABLE","DIAGNOSTIC_ONLY_NOT_HFR","","tests/fixtures/M03A_2/C020_conductivity_conflict.csv","","","","","","","","","","","screening only; never an HFR estimator"
"S_C020","R1","C020","HIGH_FREQUENCY_INTERCEPT","HFR_ESTIMATOR","1.9999999999999969","4.7525426742744206E-16","61","2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62","0.10000000000000001","1000000","FULL_ARC_CIRCLE_LEFT_REAL_INTERCEPT","9.2796362203710858E-16","PASS","NONE","NONE","PASS","PASS","","tests/fixtures/M03A_2/C020_conductivity_conflict.csv","","","","","","","","","","","full-arc circle model; complete-semicircle assumption is explicit"
"S_C021","R1","C021","FIRST_POINT_DIAGNOSTIC","LAB_SCREENING_HEURISTIC","2.0000000031662868","","1","2","1000000","1000000","FIRST_NORMALIZED_POINT","","NOT_ASSESSED","NOT_ASSESSED","NOT_ASSESSED","NOT_APPLICABLE","DIAGNOSTIC_ONLY_NOT_HFR","","tests/fixtures/M03A_2/C021_failed_distribution.csv","","","","","","","","","","","screening only; never an HFR estimator"
"S_C021","R1","C021","HIGH_FREQUENCY_INTERCEPT","HFR_ESTIMATOR","1.9999999999999969","4.7525426742744206E-16","61","2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62","0.10000000000000001","1000000","FULL_ARC_CIRCLE_LEFT_REAL_INTERCEPT","9.2796362203710858E-16","PASS","NONE","NONE","PASS","PASS","","tests/fixtures/M03A_2/C021_failed_distribution.csv","","","","","","","","","","","full-arc circle model; complete-semicircle assumption is explicit"
"S_C022","R1","C022","FIRST_POINT_DIAGNOSTIC","LAB_SCREENING_HEURISTIC","2.0000000031662868","","1","2","1000000","1000000","FIRST_NORMALIZED_POINT","","NOT_ASSESSED","NOT_ASSESSED","NOT_ASSESSED","NOT_APPLICABLE","DIAGNOSTIC_ONLY_NOT_HFR","","tests/fixtures/M03A_2/C022_missing_series_component.csv","","","","","","","","","","","screening only; never an HFR estimator"
"S_C022","R1","C022","HIGH_FREQUENCY_INTERCEPT","HFR_ESTIMATOR","1.9999999999999969","4.7525426742744206E-16","61","2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62","0.10000000000000001","1000000","FULL_ARC_CIRCLE_LEFT_REAL_INTERCEPT","9.2796362203710858E-16","PASS","NONE","NONE","PASS","PASS","","tests/fixtures/M03A_2/C022_missing_series_component.csv","","","","","","","","","","","full-arc circle model; complete-semicircle assumption is explicit"
"EXP_C023","R1","C023","FIRST_POINT_DIAGNOSTIC","LAB_SCREENING_HEURISTIC","","","0","","","","NONE","","NOT_ASSESSED","NOT_ASSESSED","NOT_ASSESSED","NOT_ASSESSED","EXPERIMENTAL_INPUT_INCOMPLETE","missing experimental file or critical provenance","tests/fixtures/M03A_2/C023_deliberately_missing_experimental.csv","","","","","","","","","INCOMPLETE_BY_DESIGN","no file and no critical provenance","case classification is independent of RUN_STATE"
"EXP_C023","R1","C023","HIGH_FREQUENCY_INTERCEPT","HFR_ESTIMATOR","","","0","","","","NONE","","NOT_ASSESSED","NOT_ASSESSED","NOT_ASSESSED","NOT_ASSESSED","EXPERIMENTAL_INPUT_INCOMPLETE","missing experimental file or critical provenance","tests/fixtures/M03A_2/C023_deliberately_missing_experimental.csv","","","","","","","","","INCOMPLETE_BY_DESIGN","no file and no critical provenance","case classification is independent of RUN_STATE"
"S_C024","R1","C024","FIRST_POINT_DIAGNOSTIC","LAB_SCREENING_HEURISTIC","2.0000000031662868","","1","2","1000000","1000000","FIRST_NORMALIZED_POINT","","NOT_ASSESSED","NOT_ASSESSED","NOT_ASSESSED","NOT_APPLICABLE","DIAGNOSTIC_ONLY_NOT_HFR","","tests/fixtures/M03A_2/C024_units_khz_mohm.csv","","","","","","","","","","","screening only; never an HFR estimator"
"S_C024","R1","C024","HIGH_FREQUENCY_INTERCEPT","HFR_ESTIMATOR","1.9999999999999982","2.8488658176821787E-16","61","2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62","0.10000000000000001","1000000","FULL_ARC_CIRCLE_LEFT_REAL_INTERCEPT","5.5625883323134427E-16","PASS","NONE","NONE","PASS","PASS","","tests/fixtures/M03A_2/C024_units_khz_mohm.csv","","","","","","","","","","","full-arc circle model; complete-semicircle assumption is explicit"
"S_C025","R1","C025","FIRST_POINT_DIAGNOSTIC","LAB_SCREENING_HEURISTIC","2.0000000031662868","","1","2","1000000","1000000","FIRST_NORMALIZED_POINT","","NOT_ASSESSED","NOT_ASSESSED","NOT_ASSESSED","NOT_APPLICABLE","DIAGNOSTIC_ONLY_NOT_HFR","","tests/fixtures/M03A_2/C025_user_defined_ec.csv","","","","","","","","","","","screening only; never an HFR estimator"
"S_C025","R1","C025","USER_DEFINED_EQUIVALENT_CIRCUIT","USER_DEFINED_EQUIVALENT_CIRCUIT","2","0.01","61","2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62","0.10000000000000001","1000000","DECLARED_SYNTHETIC_RANDLES_RS","0.001","PASS","NONE","NONE","PASS","SUPPORTED_SYNTHETIC_RANDLES_ONLY","","tests/fixtures/M03A_2/C025_user_defined_ec.csv","Rs + (Rct || Cdl)","M03A2_INTERNAL_SYNTHETIC_RANDLES_REGRESSION","tests/fixtures/M03A_2/C025_user_defined_ec.csv","2","0.01","normalized_RMSE","0.001","M03A2_C025_SYNTHETIC_FIT","SUPPORTED_SYNTHETIC_RANDLES_ONLY","contract values are declared not inferred from first point","Rs read from complete declared fit contract; not inferred from first point"
"S_C026","R1","C026","FIRST_POINT_DIAGNOSTIC","LAB_SCREENING_HEURISTIC","0.5","","1","2","1000000","1000000","FIRST_NORMALIZED_POINT","","NOT_ASSESSED","NOT_ASSESSED","NOT_ASSESSED","NOT_APPLICABLE","DIAGNOSTIC_ONLY_NOT_HFR","","tests/fixtures/M03A_2/C026_zero_deembedded.csv","","","","","","","","","","","screening only; never an HFR estimator"
"S_C026","R1","C026","HIGH_FREQUENCY_INTERCEPT","HFR_ESTIMATOR","0.5","0","41","2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42","0.10000000000000001","1000000","RESISTIVE_LEVEL","0","PASS","NONE","NONE","PASS","PASS","","tests/fixtures/M03A_2/C026_zero_deembedded.csv","","","","","","","","","","","resistive real-axis level"
