parameter,value,unit,source_class,source_reference,model_role,notes
Q_N2_lab,50,cm^3/min,LAB_MANUAL,"Manual SHA256 EE9A... P150 P169-P170",formal_n2_baseline,"electronic flow controller"
Q_H2_lab,50,cm^3/min,LAB_MANUAL,"Manual SHA256 EE9A... P150 P169-P170",formal_h2_baseline,"electronic flow controller"
Q_liquid_lab,,m^3/s,CALIBRATION_REQUIRED,"Manual SHA256 EE9A... P329",liquid_flow_sweep_parameter,"section title exists but no structured RPM-to-flow values or table; do not infer"
ssc_material,316L,1,LAB_MANUAL,"Manual SHA256 EE9A... P80",cathode_solid_identity,"stainless-steel cloth"
ssc_mesh_count,500,1/in,LAB_MANUAL,"Manual SHA256 EE9A... P80",porous_layer_structure,"Manual states 500 mesh"
ssc_cut_width,60,mm,LAB_MANUAL,"Manual SHA256 EE9A... P81",ssc_total_cut_geometry,"square cut"
ssc_cut_height,60,mm,LAB_MANUAL,"Manual SHA256 EE9A... P81",ssc_total_cut_geometry,"square cut"
ssc_total_cut_area,3600,mm^2,DERIVED,"60 mm times 60 mm from Manual P81",ssc_total_cut_area,"not all electrochemically active"
ssc_flowfield_footprint_area,2474.04981995,mm^2,REAL_CAD,"M10A1 sel_bnd_n2_gde_interface real-CAD bounding footprint",ssc_active_footprint,"derived by COMSOL geometry measure; not assumed 25 cm^2"
ssc_open_channel_area,1278.22088213,mm^2,REAL_CAD,"M10A1 sel_bnd_n2_gde_interface real-CAD surface measure",ssc_open_gas_interface,"actual open-channel area within flow-field footprint"
t_ssc,30,um,LITERATURE_SAME_PLATFORM,"docs/M10A0_public_cell_geometry_contract.md primary source 3",ssc_domain_thickness,"same 25 cm2 DTU platform family value; not lab measured"
eps_ssc,0.5,1,PROVISIONAL,"M10A2 provisional sensitivity definition",porous_flow_and_transport_sweep,"sweep 0.3 0.5 0.7; calibration required"
K_ssc,1e-11,m^2,PROVISIONAL,"M10A2 provisional sensitivity definition",porous_pressure_sweep,"broad sweep 1e-13 1e-12 1e-11 1e-10 1e-9 m2; not inferred from pore size"
theta_ssc,90,deg,PROVISIONAL,"M10A2 provisional sensitivity definition",wetting_sensitivity,"sweep 70 90 110 deg; not measured"
pc_ssc,1500,Pa,PROVISIONAL,"M10A2 provisional sensitivity definition",capillary_pressure_sensitivity,"sweep magnitude; not measured and not tuned"
tau_ssc,2.0,1,PROVISIONAL,"M10A2 provisional sensitivity definition",effective_diffusivity_sensitivity,"calibration required"
ssc_pore_diameter,,m,CALIBRATION_REQUIRED,"No supporting value in current repository or structured Manual text",porous_constitutive_input,"not inferred from mesh count"
gasket_outer_width,75,mm,LAB_MANUAL,"Manual SHA256 EE9A... P76-P77",gasket_planform,"square outer boundary"
gasket_inner_width,55,mm,LAB_MANUAL,"Manual SHA256 EE9A... P76-P77",exposed_window_mask,"square inner opening"
t_gasket,,m,CALIBRATION_REQUIRED,"Manual SHA256 EE9A... P76-P77",gasket_compression_thickness,"not used as a measured thickness; use zero-thickness mask for hydraulic closure"
pressure_sweep,0 5 10 15 20 30,mbar,PROVISIONAL,"M10A2 task-defined sensitivity sweep",wetting_pressure_difference,"15 mbar is literature-reported comparison only"
pressure_comparison_15mbar,15,mbar,LITERATURE_REPORTED,"docs/M10A0_public_cell_geometry_contract.md; Li et al. public operating point",comparison_only,"not automatically the laboratory pressure"
henry_n2_electrolyte,,mol/(m^3*Pa),CALIBRATION_REQUIRED,"No electrolyte-specific value transferred through M03A.5/6",gas_liquid_equilibrium,"do not substitute water value as experimental"
D_n2_electrolyte,2e-9,m^2/s,PROVISIONAL,"config/M03A_3_parameters.csv frozen M02.2 numerical input",n2_transport_sensitivity,"numerical/literature-estimate placeholder; not experimental"
D_n2_gas,2e-5,m^2/s,PROVISIONAL,"M10A2 literature-estimate placeholder pending controlled citation",n2_gas_transport_sensitivity,"not experimental"
K_wet,1e-13,m^2,PROVISIONAL,"M10A2 lower edge of permeability sensitivity sweep",wetting_saved_case,"not calibrated; separate from the saved Darcy display value"
Sl_initial,0.01,1,PROVISIONAL,"M10A2 numerical initial condition",wetting_initial_condition,"initially dry sensitivity; not measured"
Sl_transport,0.5,1,PROVISIONAL,"M10A2 transport sensitivity definition",relative_permeability_and_effective_diffusivity,"uses explicit k_r=Sl^2; not measured"
Sl_breakthrough,0.5,1,PROVISIONAL,"M10A2 diagnostic definition",liquid_breakthrough_condition,"gas-side Sl at or above this threshold; not calibrated"
wetting_time_window,0.005,s,PROVISIONAL,"M10A2 numerical time-window definition",transient_wetting_audit,"0 to 5 ms with 0.1 ms output interval; not a measured breakthrough window"
rho_N2,1.145,kg/m^3,PROVISIONAL,"M10A2 nominal-condition numerical property",n2_hydraulics,"operating temperature and pressure calibration required"
mu_N2,1.76e-5,Pa*s,PROVISIONAL,"M10A2 nominal-condition numerical property",n2_hydraulics,"not experimental"
rho_H2,0.082,kg/m^3,PROVISIONAL,"M10A2 nominal-condition numerical property",h2_hydraulics,"operating temperature and pressure calibration required"
mu_H2,8.9e-6,Pa*s,PROVISIONAL,"M10A2 nominal-condition numerical property",h2_hydraulics,"not experimental"
rho_liquid,889,kg/m^3,PROVISIONAL,"M10A1/M02 numerical layer",liquid_hydraulics,"electrolyte-specific calibration required"
mu_liquid,0.46,mPa*s,PROVISIONAL,"M10A1/M02 numerical layer",liquid_hydraulics,"electrolyte-specific calibration required"
H_N2_sensitivity,1e-5,mol/(m^3*Pa),PROVISIONAL,"M10A2 phenomenological sensitivity input",gas_liquid_equilibrium,"true electrolyte Henry coefficient remains CALIBRATION_REQUIRED"
N2_bulk_sink,0,mol/m^3,PROVISIONAL,"M10A2 phenomenological transport boundary",far_field_transport_boundary,"well-mixed sink sensitivity; not reaction kinetics and not experimental"
